,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.136,0.078,0.594,0.874,0.95,0.969,1,1
KMeans,0.106,0.062,0.693,0.883,0.964,0.972,1,1
KMeans,0.126,0.072,0.621,0.88,0.956,0.969,1,1
KMeans,0.156,0.088,0.593,0.938,0.936,0.972,1,1
KMeans,0.143,0.079,0.57,0.92,0.945,0.972,1,1
KMeans,1.802,0.922,0.548,0.911,0.055,0.827,1,1
specteral,0.116,0.067,0.604,0.9,0.958,0.973,1,1
specteral,0.133,0.078,0.622,0.888,0.95,0.969,1,1
specteral,0.119,0.068,0.605,0.904,0.955,0.974,1,1
specteral,0.218,0.122,0.478,0.957,0.899,0.972,1,1
specteral,0.247,0.138,0.509,0.941,0.889,0.965,1,1
specteral,1.738,0.896,0.525,0.958,0.085,0.857,1,1
affinity,0.119,0.067,0.641,0.849,0.964,0.967,1,1
affinity,0.121,0.067,0.628,0.862,0.962,0.969,1,1
affinity,0.114,0.067,0.596,0.889,0.96,0.97,1,1
affinity,0.133,0.075,0.544,0.888,0.949,0.972,1,1
affinity,0.163,0.093,0.523,0.911,0.933,0.969,1,1
affinity,1.79,0.914,0.546,0.922,0.063,0.86,1,1
KMeans,0.142,0.08,0.627,0.898,0.945,0.972,1,2
KMeans,0.128,0.075,0.645,0.887,0.952,0.971,1,2
KMeans,0.156,0.081,0.633,0.891,0.945,0.971,1,2
KMeans,0.198,0.106,0.492,0.934,0.918,0.972,1,2
KMeans,0.146,0.075,0.567,0.939,0.939,0.983,1,2
KMeans,1.792,0.91,0.534,0.898,0.068,0.905,1,2
specteral,0.146,0.076,0.596,0.842,0.95,0.971,1,2
specteral,0.135,0.075,0.624,0.898,0.95,0.973,1,2
specteral,0.139,0.076,0.588,0.912,0.945,0.976,1,2
specteral,0.257,0.13,0.412,0.948,0.884,0.98,1,2
specteral,0.267,0.146,0.393,0.943,0.873,0.974,1,2
specteral,1.694,0.861,0.425,0.945,0.118,0.943,1,2
affinity,0.101,0.055,0.657,0.846,0.966,0.976,1,2
affinity,0.115,0.066,0.669,0.912,0.959,0.973,1,2
affinity,0.094,0.055,0.683,0.898,0.964,0.978,1,2
affinity,0.146,0.076,0.608,0.886,0.946,0.974,1,2
affinity,0.139,0.073,0.586,0.929,0.943,0.981,1,2
affinity,1.809,0.919,0.614,0.922,0.059,0.892,1,2
KMeans,0.127,0.068,0.461,0.93,0.947,0.983,1,3
KMeans,0.121,0.065,0.453,0.944,0.951,0.982,1,3
KMeans,0.102,0.057,0.444,0.913,0.956,0.985,1,3
KMeans,0.15,0.081,0.343,0.962,0.93,0.986,1,3
