,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.148,0.081,0.604,0.899,0.946,0.969,1,1
KMeans,0.121,0.065,0.622,0.906,0.959,0.973,1,1
KMeans,0.158,0.083,0.578,0.884,0.949,0.965,1,1
KMeans,0.193,0.105,0.502,0.928,0.922,0.968,1,1
KMeans,0.178,0.101,0.575,0.944,0.926,0.968,1,1
KMeans,1.778,0.907,0.502,0.912,0.069,0.871,1,1
specteral,0.138,0.074,0.625,0.836,0.956,0.966,1,1
specteral,0.131,0.075,0.617,0.87,0.955,0.966,1,1
specteral,0.133,0.072,0.64,0.854,0.958,0.968,1,1
specteral,0.232,0.13,0.454,0.943,0.894,0.969,1,1
specteral,0.203,0.111,0.477,0.933,0.909,0.974,1,1
specteral,1.728,0.881,0.456,0.941,0.095,0.914,1,1
affinity,0.104,0.06,0.702,0.843,0.969,0.968,1,1
affinity,0.114,0.058,0.683,0.847,0.969,0.971,1,1
affinity,0.119,0.065,0.664,0.825,0.965,0.967,1,1
affinity,0.161,0.089,0.548,0.878,0.941,0.966,1,1
affinity,0.158,0.083,0.553,0.909,0.944,0.97,1,1
affinity,1.8,0.925,0.559,0.902,0.054,0.808,1,1
KMeans,0.16,0.08,0.556,0.925,0.941,0.976,1,2
KMeans,0.142,0.08,0.596,0.912,0.945,0.972,1,2
KMeans,0.122,0.071,0.669,0.912,0.955,0.971,1,2
KMeans,0.198,0.107,0.473,0.946,0.909,0.979,1,2
KMeans,0.16,0.092,0.586,0.922,0.934,0.97,1,2
KMeans,1.795,0.908,0.568,0.915,0.068,0.927,1,2
specteral,0.115,0.064,0.659,0.834,0.961,0.973,1,2
specteral,0.128,0.071,0.653,0.837,0.955,0.971,1,2
specteral,0.142,0.076,0.655,0.816,0.953,0.967,1,2
specteral,0.219,0.114,0.484,0.938,0.9,0.981,1,2
specteral,0.222,0.127,0.463,0.957,0.893,0.975,1,2
specteral,1.698,0.867,0.459,0.967,0.114,0.928,1,2
affinity,0.101,0.054,0.721,0.795,0.973,0.971,1,2
affinity,0.101,0.059,0.73,0.887,0.966,0.973,1,2
affinity,0.097,0.052,0.723,0.861,0.97,0.977,1,2
affinity,0.142,0.073,0.605,0.867,0.952,0.973,1,2
affinity,0.153,0.08,0.575,0.919,0.937,0.979,1,2
affinity,1.799,0.92,0.593,0.932,0.061,0.85,1,2
KMeans,0.127,0.07,0.424,0.93,0.947,0.982,1,3
KMeans,0.127,0.068,0.455,0.946,0.947,0.983,1,3
KMeans,0.127,0.065,0.402,0.935,0.948,0.985,1,3
KMeans,0.175,0.091,0.334,0.948,0.922,0.984,1,3
KMeans,0.162,0.086,0.366,0.944,0.926,0.986,1,3
KMeans,1.809,0.911,0.339,0.952,0.076,0.959,1,3
specteral,0.124,0.068,0.486,0.935,0.947,0.983,1,3
specteral,0.105,0.052,0.491,0.943,0.961,0.985,1,3
specteral,0.092,0.046,0.555,0.927,0.966,0.987,1,3
specteral,0.248,0.132,0.332,0.971,0.882,0.982,1,3
specteral,0.223,0.116,0.329,0.965,0.896,0.984,1,3
specteral,1.723,0.865,0.299,0.981,0.121,0.987,1,3
affinity,0.067,0.035,0.598,0.844,0.977,0.987,1,3
affinity,0.102,0.054,0.539,0.94,0.961,0.983,1,3
affinity,0.102,0.056,0.569,0.933,0.961,0.982,1,3
affinity,0.111,0.059,0.432,0.944,0.953,0.987,1,3
affinity,0.134,0.07,0.428,0.96,0.94,0.988,1,3
affinity,1.831,0.922,0.404,0.935,0.065,0.952,1,3
KMeans,0.162,0.091,0.744,0.875,0.944,0.961,1,4
KMeans,0.133,0.074,0.777,0.835,0.956,0.966,1,4
KMeans,0.123,0.073,0.786,0.817,0.961,0.963,1,4
KMeans,0.188,0.1,0.655,0.924,0.927,0.967,1,4
KMeans,0.178,0.094,0.673,0.885,0.936,0.965,1,4
KMeans,1.773,0.909,0.717,0.926,0.064,0.844,1,4
KMeans,0.123,0.063,0.544,0.924,0.956,0.979,1,5
KMeans,0.114,0.059,0.604,0.869,0.964,0.976,1,5
KMeans,0.117,0.06,0.626,0.883,0.962,0.976,1,5
KMeans,0.151,0.077,0.549,0.918,0.945,0.975,1,5
KMeans,0.142,0.072,0.499,0.903,0.948,0.977,1,5
KMeans,1.824,0.924,0.436,0.932,0.057,0.9,1,5
KMeans,0.144,0.076,0.598,0.924,0.943,0.977,1,6
KMeans,0.156,0.084,0.595,0.865,0.943,0.969,1,6
KMeans,0.144,0.08,0.602,0.899,0.948,0.969,1,6
KMeans,0.217,0.116,0.526,0.922,0.91,0.968,1,6
KMeans,0.19,0.11,0.505,0.945,0.918,0.967,1,6
KMeans,1.758,0.891,0.506,0.945,0.084,0.93,1,6
specteral,0.15,0.081,0.671,0.887,0.948,0.968,1,6
specteral,0.126,0.07,0.668,0.875,0.959,0.968,1,6
specteral,0.116,0.063,0.654,0.769,0.964,0.971,1,6
specteral,0.242,0.128,0.434,0.954,0.889,0.976,1,6
specteral,0.291,0.162,0.408,0.965,0.858,0.971,1,6
specteral,1.66,0.852,0.43,0.95,0.13,0.921,1,6
affinity,0.11,0.06,0.72,0.81,0.972,0.967,1,6
affinity,0.098,0.06,0.769,0.82,0.97,0.968,1,6
affinity,0.107,0.066,0.737,0.821,0.965,0.967,1,6
affinity,0.116,0.066,0.687,0.907,0.96,0.971,1,6
affinity,0.165,0.099,0.61,0.936,0.93,0.966,1,6
affinity,1.807,0.907,0.566,0.919,0.063,0.976,1,6
KMeans,0.17,0.09,0.709,0.856,0.947,0.958,1,7
KMeans,0.127,0.069,0.747,0.782,0.966,0.962,1,7
KMeans,0.148,0.079,0.715,0.8,0.957,0.96,1,7
KMeans,0.181,0.105,0.605,0.888,0.928,0.961,1,7
KMeans,0.174,0.103,0.635,0.895,0.932,0.959,1,7
KMeans,1.754,0.884,0.614,0.931,0.079,0.955,1,7
specteral,0.148,0.078,0.738,0.742,0.962,0.957,1,7
specteral,0.148,0.079,0.809,0.755,0.962,0.955,1,7
specteral,0.145,0.076,0.807,0.706,0.966,0.955,1,7
specteral,0.253,0.143,0.493,0.921,0.885,0.963,1,7
specteral,0.246,0.137,0.554,0.921,0.896,0.958,1,7
specteral,1.729,0.879,0.581,0.903,0.089,0.922,1,7
affinity,0.108,0.058,0.791,0.648,0.979,0.961,1,7
affinity,0.123,0.061,0.809,0.735,0.974,0.963,1,7
affinity,0.112,0.063,0.83,0.789,0.972,0.963,1,7
affinity,0.123,0.065,0.819,0.816,0.97,0.963,1,7
affinity,0.119,0.069,0.7,0.881,0.957,0.971,1,7
affinity,1.797,0.913,0.699,0.857,0.053,0.875,1,7
KMeans,0.15,0.08,0.615,0.889,0.947,0.969,2,1
KMeans,0.14,0.076,0.676,0.889,0.952,0.969,2,1
KMeans,0.144,0.082,0.664,0.929,0.947,0.967,2,1
KMeans,0.196,0.112,0.545,0.924,0.915,0.966,2,1
KMeans,0.193,0.106,0.547,0.926,0.922,0.967,2,1
KMeans,1.767,0.894,0.513,0.901,0.081,0.927,2,1
specteral,0.116,0.066,0.686,0.854,0.962,0.969,2,1
specteral,0.131,0.072,0.63,0.829,0.959,0.966,2,1
specteral,0.134,0.069,0.649,0.838,0.959,0.969,2,1
specteral,0.245,0.129,0.45,0.958,0.89,0.974,2,1
specteral,0.23,0.125,0.45,0.943,0.896,0.972,2,1
specteral,1.718,0.866,0.482,0.94,0.108,0.958,2,1
affinity,0.088,0.054,0.854,0.781,0.978,0.967,2,1
affinity,0.113,0.068,0.716,0.88,0.963,0.966,2,1
affinity,0.125,0.069,0.713,0.838,0.962,0.966,2,1
affinity,0.122,0.072,0.698,0.863,0.959,0.966,2,1
affinity,0.14,0.08,0.635,0.924,0.946,0.971,2,1
affinity,1.804,0.914,0.622,0.914,0.061,0.905,2,1
KMeans,0.155,0.082,0.469,0.944,0.937,0.978,2,2
KMeans,0.143,0.075,0.468,0.915,0.943,0.98,2,2
KMeans,0.143,0.075,0.522,0.951,0.946,0.977,2,2
KMeans,0.193,0.104,0.347,0.974,0.911,0.981,2,2
