,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.126,0.069,0.636,0.888,0.959,0.969,1,1
KMeans,0.121,0.065,0.675,0.842,0.964,0.968,1,1
KMeans,0.133,0.07,0.664,0.89,0.955,0.971,1,1
KMeans,0.104,0.057,0.714,0.856,0.968,0.973,1,1
specteral,0.119,0.065,0.609,0.902,0.958,0.974,1,1
specteral,0.111,0.058,0.622,0.916,0.962,0.978,1,1
specteral,0.121,0.065,0.849,0.517,0.964,0.968,1,1
specteral,0.163,0.086,0.717,0.715,0.94,0.97,1,1
affinity,0.119,0.067,0.641,0.849,0.964,0.967,1,1
affinity,0.101,0.057,0.607,0.872,0.965,0.975,1,1
affinity,0.119,0.064,0.763,0.607,0.962,0.972,1,1
affinity,0.111,0.057,0.725,0.709,0.967,0.974,1,1
KMeans,0.135,0.075,0.619,0.905,0.948,0.974,1,2
KMeans,0.128,0.068,0.577,0.901,0.95,0.98,1,2
KMeans,0.135,0.069,0.674,0.806,0.957,0.971,1,2
KMeans,0.125,0.066,0.672,0.773,0.962,0.969,1,2
specteral,0.16,0.085,0.582,0.88,0.939,0.972,1,2
specteral,0.125,0.075,0.603,0.894,0.948,0.974,1,2
specteral,0.167,0.087,0.695,0.575,0.939,0.97,1,2
specteral,0.188,0.099,0.593,0.809,0.921,0.975,1,2
affinity,0.101,0.055,0.657,0.846,0.966,0.976,1,2
affinity,0.118,0.066,0.695,0.919,0.959,0.973,1,2
affinity,0.108,0.055,0.735,0.591,0.968,0.975,1,2
affinity,0.142,0.073,0.697,0.745,0.953,0.971,1,2
KMeans,0.124,0.07,0.437,0.959,0.945,0.983,1,3
KMeans,0.092,0.049,0.482,0.914,0.961,0.988,1,3
KMeans,0.105,0.056,0.442,0.901,0.956,0.987,1,3
KMeans,0.121,0.064,0.42,0.898,0.951,0.983,1,3
specteral,0.115,0.062,0.453,0.963,0.948,0.988,1,3
specteral,0.115,0.06,0.375,0.93,0.953,0.985,1,3
specteral,0.175,0.091,0.469,0.79,0.926,0.981,1,3
specteral,0.169,0.089,0.413,0.808,0.927,0.981,1,3
affinity,0.092,0.046,0.504,0.898,0.968,0.985,1,3
affinity,0.096,0.056,0.502,0.917,0.961,0.982,1,3
affinity,0.118,0.06,0.566,0.787,0.956,0.982,1,3
affinity,0.124,0.065,0.445,0.809,0.951,0.982,1,3
KMeans,0.11,0.061,0.848,0.864,0.966,0.97,1,4
KMeans,0.146,0.079,0.78,0.807,0.956,0.961,1,4
KMeans,0.143,0.078,0.761,0.704,0.958,0.961,1,4
KMeans,0.139,0.078,0.801,0.809,0.956,0.963,1,4
specteral,0.156,0.083,0.796,0.816,0.953,0.961,1,4
specteral,0.159,0.084,0.783,0.843,0.951,0.961,1,4
specteral,0.185,0.1,0.743,0.51,0.938,0.957,1,4
specteral,0.175,0.094,0.712,0.667,0.933,0.968,1,4
affinity,0.11,0.063,0.858,0.806,0.97,0.965,1,4
affinity,0.104,0.061,0.851,0.877,0.968,0.968,1,4
affinity,0.156,0.079,0.786,0.641,0.958,0.959,1,4
affinity,0.159,0.086,0.735,0.786,0.948,0.962,1,4
KMeans,0.099,0.054,0.579,0.926,0.964,0.981,1,5
KMeans,0.086,0.049,0.689,0.884,0.972,0.978,1,5
KMeans,0.12,0.063,0.538,0.849,0.959,0.976,1,5
KMeans,0.139,0.069,0.533,0.857,0.954,0.974,1,5
specteral,0.114,0.059,0.547,0.88,0.962,0.977,1,5
specteral,0.123,0.065,0.561,0.92,0.956,0.977,1,5
specteral,0.167,0.089,0.525,0.766,0.934,0.974,1,5
specteral,0.176,0.091,0.524,0.794,0.93,0.975,1,5
affinity,0.102,0.055,0.587,0.815,0.97,0.973,1,5
affinity,0.08,0.045,0.578,0.863,0.973,0.981,1,5
affinity,0.09,0.046,0.663,0.824,0.972,0.981,1,5
affinity,0.12,0.065,0.592,0.812,0.959,0.974,1,5
KMeans,0.135,0.075,0.586,0.92,0.948,0.974,1,6
KMeans,0.144,0.081,0.671,0.893,0.949,0.966,1,6
KMeans,0.119,0.067,0.699,0.8,0.957,0.973,1,6
KMeans,0.123,0.07,0.659,0.859,0.96,0.967,1,6
specteral,0.123,0.064,0.592,0.916,0.956,0.977,1,6
specteral,0.144,0.083,0.621,0.87,0.948,0.966,1,6
specteral,0.129,0.067,0.832,0.609,0.96,0.97,1,6
specteral,0.187,0.099,0.68,0.794,0.927,0.969,1,6
affinity,0.116,0.064,0.662,0.829,0.965,0.968,1,6
affinity,0.126,0.069,0.651,0.882,0.959,0.97,1,6
affinity,0.126,0.067,0.737,0.708,0.962,0.968,1,6
affinity,0.11,0.066,0.746,0.717,0.965,0.967,1,6
KMeans,0.152,0.088,0.686,0.852,0.947,0.96,1,7
KMeans,0.13,0.07,0.733,0.825,0.962,0.964,1,7
KMeans,0.119,0.063,0.731,0.762,0.968,0.966,1,7
KMeans,0.145,0.079,0.778,0.736,0.96,0.957,1,7
specteral,0.145,0.079,0.733,0.85,0.955,0.962,1,7
specteral,0.152,0.081,0.681,0.801,0.955,0.96,1,7
specteral,0.184,0.097,0.785,0.415,0.942,0.956,1,7
specteral,0.188,0.106,0.751,0.634,0.932,0.956,1,7
affinity,0.127,0.074,0.774,0.834,0.962,0.96,1,7
affinity,0.105,0.052,0.776,0.823,0.975,0.97,1,7
affinity,0.127,0.069,0.796,0.567,0.97,0.959,1,7
affinity,0.134,0.072,0.792,0.646,0.966,0.959,1,7
KMeans,0.137,0.076,0.658,0.906,0.952,0.969,2,1
KMeans,0.128,0.072,0.635,0.881,0.955,0.969,2,1
KMeans,0.159,0.085,0.633,0.857,0.947,0.964,2,1
KMeans,0.131,0.071,0.639,0.812,0.959,0.968,2,1
specteral,0.122,0.069,0.641,0.934,0.954,0.974,2,1
specteral,0.134,0.077,0.619,0.9,0.949,0.971,2,1
specteral,0.168,0.088,0.713,0.508,0.943,0.966,2,1
specteral,0.19,0.099,0.646,0.672,0.927,0.97,2,1
affinity,0.1,0.06,0.723,0.869,0.967,0.971,2,1
affinity,0.125,0.076,0.713,0.917,0.955,0.966,2,1
affinity,0.137,0.071,0.707,0.629,0.959,0.968,2,1
affinity,0.14,0.074,0.703,0.738,0.957,0.966,2,1
KMeans,0.128,0.072,0.551,0.94,0.95,0.975,2,2
KMeans,0.11,0.06,0.559,0.926,0.961,0.977,2,2
KMeans,0.128,0.072,0.588,0.912,0.95,0.975,2,2
KMeans,0.11,0.062,0.547,0.89,0.961,0.976,2,2
specteral,0.146,0.076,0.507,0.928,0.944,0.977,2,2
specteral,0.131,0.074,0.485,0.944,0.947,0.977,2,2
specteral,0.108,0.056,0.765,0.628,0.964,0.979,2,2
specteral,0.202,0.106,0.501,0.844,0.91,0.981,2,2
affinity,0.105,0.057,0.619,0.943,0.964,0.977,2,2
affinity,0.108,0.06,0.566,0.951,0.959,0.978,2,2
affinity,0.113,0.063,0.676,0.703,0.959,0.975,2,2
affinity,0.125,0.066,0.615,0.841,0.955,0.977,2,2
KMeans,0.149,0.077,0.789,0.871,0.953,0.966,2,3
KMeans,0.149,0.077,0.814,0.832,0.961,0.959,2,3
KMeans,0.134,0.079,0.769,0.73,0.957,0.961,2,3
KMeans,0.152,0.081,0.741,0.778,0.955,0.961,2,3
specteral,0.159,0.084,0.78,0.86,0.951,0.96,2,3
specteral,0.159,0.088,0.726,0.818,0.951,0.957,2,3
specteral,0.177,0.093,0.785,0.667,0.946,0.957,2,3
specteral,0.177,0.089,0.694,0.678,0.942,0.964,2,3
affinity,0.106,0.057,0.896,0.794,0.978,0.963,2,3
affinity,0.113,0.07,0.862,0.886,0.964,0.963,2,3
affinity,0.109,0.057,0.869,0.608,0.976,0.965,2,3
affinity,0.124,0.066,0.816,0.751,0.966,0.965,2,3
KMeans,0.176,0.094,0.659,0.878,0.943,0.958,2,4
KMeans,0.12,0.075,0.75,0.898,0.957,0.965,2,4
KMeans,0.172,0.087,0.722,0.728,0.951,0.959,2,4
KMeans,0.144,0.077,0.726,0.843,0.957,0.963,2,4
specteral,0.124,0.071,0.785,0.809,0.965,0.961,2,4
specteral,0.156,0.085,0.701,0.815,0.953,0.959,2,4
specteral,0.203,0.116,0.671,0.778,0.922,0.955,2,4
specteral,0.203,0.114,0.671,0.766,0.916,0.963,2,4
affinity,0.116,0.065,0.764,0.813,0.967,0.965,2,4
affinity,0.132,0.069,0.734,0.77,0.967,0.961,2,4
affinity,0.105,0.059,0.872,0.681,0.973,0.965,2,4
affinity,0.148,0.079,0.774,0.673,0.959,0.959,2,4
KMeans,0.118,0.071,0.705,0.92,0.956,0.969,2,5
KMeans,0.137,0.078,0.751,0.884,0.954,0.964,2,5
KMeans,0.111,0.065,0.813,0.658,0.966,0.966,2,5
KMeans,0.126,0.073,0.736,0.789,0.96,0.964,2,5
specteral,0.155,0.085,0.649,0.873,0.949,0.962,2,5
specteral,0.151,0.082,0.678,0.871,0.951,0.963,2,5
specteral,0.158,0.085,0.762,0.527,0.947,0.963,2,5
specteral,0.184,0.102,0.62,0.724,0.932,0.961,2,5
affinity,0.107,0.064,0.816,0.776,0.972,0.962,2,5
affinity,0.115,0.067,0.842,0.845,0.968,0.962,2,5
affinity,0.137,0.071,0.709,0.609,0.962,0.964,2,5
affinity,0.129,0.071,0.805,0.709,0.964,0.962,2,5
KMeans,0.138,0.076,0.716,0.873,0.957,0.964,2,6
KMeans,0.123,0.072,0.754,0.856,0.959,0.966,2,6
KMeans,0.123,0.072,0.743,0.773,0.959,0.966,2,6
KMeans,0.123,0.07,0.775,0.817,0.963,0.964,2,6
specteral,0.134,0.072,0.752,0.837,0.959,0.966,2,6
specteral,0.142,0.085,0.715,0.907,0.949,0.962,2,6
specteral,0.15,0.079,0.732,0.567,0.943,0.974,2,6
specteral,0.188,0.104,0.713,0.713,0.927,0.963,2,6
affinity,0.1,0.055,0.89,0.786,0.976,0.967,2,6
affinity,0.127,0.068,0.724,0.87,0.963,0.966,2,6
affinity,0.127,0.068,0.849,0.664,0.965,0.965,2,6
affinity,0.138,0.076,0.701,0.79,0.957,0.964,2,6
KMeans,0.117,0.065,0.79,0.826,0.968,0.964,2,7
KMeans,0.128,0.069,0.772,0.82,0.964,0.964,2,7
KMeans,0.125,0.073,0.771,0.815,0.962,0.962,2,7
KMeans,0.125,0.071,0.757,0.837,0.96,0.966,2,7
specteral,0.14,0.084,0.807,0.866,0.954,0.958,2,7
specteral,0.14,0.078,0.74,0.878,0.952,0.966,2,7
specteral,0.201,0.109,0.663,0.665,0.924,0.961,2,7
specteral,0.205,0.109,0.688,0.799,0.924,0.961,2,7
affinity,0.086,0.05,0.881,0.857,0.978,0.97,2,7
affinity,0.109,0.059,0.815,0.86,0.968,0.97,2,7
affinity,0.155,0.078,0.767,0.665,0.958,0.96,2,7
affinity,0.174,0.092,0.742,0.759,0.946,0.958,2,7
KMeans,0.127,0.068,0.736,0.791,0.965,0.963,2,8
KMeans,0.135,0.072,0.734,0.834,0.961,0.963,2,8
KMeans,0.112,0.064,0.773,0.662,0.967,0.965,2,8
KMeans,0.139,0.08,0.721,0.855,0.953,0.963,2,8
specteral,0.147,0.08,0.719,0.867,0.955,0.961,2,8
specteral,0.151,0.082,0.699,0.848,0.953,0.961,2,8
specteral,0.174,0.096,0.723,0.828,0.939,0.96,2,8
specteral,0.194,0.113,0.592,0.906,0.918,0.962,2,8
affinity,0.112,0.059,0.801,0.773,0.976,0.964,2,8
affinity,0.135,0.07,0.721,0.855,0.961,0.965,2,8
affinity,0.112,0.066,0.855,0.709,0.967,0.963,2,8
affinity,0.119,0.064,0.779,0.799,0.967,0.965,2,8
KMeans,0.148,0.087,0.824,0.836,0.955,0.953,2,9
KMeans,0.138,0.077,0.836,0.854,0.961,0.959,2,9
KMeans,0.163,0.086,0.818,0.683,0.957,0.953,2,9
KMeans,0.141,0.084,0.809,0.811,0.957,0.955,2,9
specteral,0.152,0.086,0.827,0.831,0.951,0.958,2,9
specteral,0.159,0.089,0.806,0.888,0.949,0.957,2,9
specteral,0.177,0.098,0.824,0.588,0.944,0.953,2,9
specteral,0.205,0.121,0.683,0.811,0.916,0.955,2,9
affinity,0.12,0.071,0.872,0.786,0.97,0.956,2,9
affinity,0.138,0.078,0.861,0.758,0.964,0.954,2,9
affinity,0.127,0.073,0.909,0.563,0.97,0.954,2,9
affinity,0.134,0.078,0.872,0.652,0.966,0.952,2,9
KMeans,0.164,0.1,0.789,0.828,0.948,0.946,2,10
KMeans,0.168,0.091,0.753,0.766,0.955,0.948,2,10
KMeans,0.194,0.104,0.751,0.694,0.95,0.94,2,10
KMeans,0.194,0.106,0.683,0.753,0.941,0.946,2,10
specteral,0.203,0.109,0.653,0.809,0.939,0.945,2,10
specteral,0.181,0.106,0.694,0.791,0.941,0.946,2,10
specteral,0.198,0.106,0.781,0.515,0.941,0.946,2,10
specteral,0.232,0.128,0.689,0.843,0.912,0.951,2,10
affinity,0.164,0.089,0.834,0.747,0.962,0.945,2,10
affinity,0.122,0.066,0.919,0.783,0.975,0.956,2,10
affinity,0.16,0.085,0.813,0.583,0.964,0.947,2,10
affinity,0.181,0.102,0.787,0.643,0.95,0.942,2,10
KMeans,0.121,0.063,0.771,0.854,0.966,0.968,2,11
KMeans,0.143,0.079,0.671,0.852,0.955,0.962,2,11
KMeans,0.157,0.081,0.684,0.765,0.956,0.958,2,11
KMeans,0.114,0.061,0.843,0.796,0.972,0.964,2,11
specteral,0.161,0.092,0.693,0.908,0.941,0.961,2,11
specteral,0.172,0.096,0.7,0.894,0.939,0.959,2,11
specteral,0.212,0.112,0.74,0.547,0.928,0.953,2,11
specteral,0.233,0.132,0.646,0.776,0.905,0.954,2,11
affinity,0.11,0.06,0.852,0.823,0.975,0.963,2,11
affinity,0.099,0.052,0.818,0.798,0.977,0.968,2,11
affinity,0.146,0.078,0.783,0.549,0.964,0.955,2,11
affinity,0.154,0.081,0.686,0.74,0.955,0.96,2,11
KMeans,0.174,0.098,0.73,0.851,0.943,0.953,2,12
KMeans,0.156,0.086,0.74,0.886,0.95,0.959,2,12
KMeans,0.156,0.084,0.728,0.742,0.956,0.956,2,12
KMeans,0.135,0.084,0.739,0.758,0.956,0.956,2,12
specteral,0.139,0.088,0.756,0.889,0.952,0.956,2,12
specteral,0.132,0.088,0.74,0.926,0.947,0.961,2,12
specteral,0.149,0.081,0.823,0.484,0.956,0.959,2,12
specteral,0.181,0.096,0.675,0.712,0.937,0.96,2,12
affinity,0.125,0.072,0.781,0.774,0.967,0.958,2,12
affinity,0.132,0.079,0.777,0.851,0.961,0.956,2,12
affinity,0.156,0.086,0.842,0.656,0.958,0.952,2,12
affinity,0.185,0.1,0.679,0.779,0.943,0.952,2,12
KMeans,0.213,0.122,0.697,0.854,0.928,0.942,2,13
KMeans,0.176,0.099,0.703,0.819,0.948,0.948,2,13
KMeans,0.171,0.093,0.722,0.8,0.952,0.95,2,13
KMeans,0.167,0.093,0.767,0.769,0.954,0.948,2,13
specteral,0.188,0.115,0.668,0.885,0.93,0.947,2,13
specteral,0.213,0.115,0.682,0.835,0.932,0.945,2,13
specteral,0.213,0.115,0.68,0.701,0.926,0.951,2,13
specteral,0.221,0.118,0.594,0.779,0.919,0.955,2,13
affinity,0.13,0.078,0.864,0.765,0.969,0.949,2,13
affinity,0.167,0.091,0.773,0.835,0.956,0.948,2,13
affinity,0.18,0.095,0.806,0.581,0.956,0.944,2,13
affinity,0.2,0.107,0.755,0.662,0.943,0.943,2,13
