,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,5.434,0.097,0.715,0.865,0.221,0.274,1,3
KMeans,0.12,0.066,0.961,0.966,0.963,0.969,1,3
specteral,3.738,0.071,0.706,0.931,0.206,0.212,1,3
specteral,0.113,0.067,0.951,0.966,0.957,0.972,1,3
affinity,3.858,0.082,0.934,0.897,0.053,0.051,1,3
affinity,0.083,0.045,0.974,0.966,0.981,0.973,1,3
KMeans,3.232,0.009,0.689,0.818,0.085,0.137,2,3
KMeans,0.18,0.09,0.939,0.945,0.949,0.956,2,3
specteral,1.548,0.066,0.7,0.84,0.259,0.243,2,3
specteral,0.158,0.094,0.943,0.945,0.949,0.951,2,3
affinity,3.798,0.009,0.759,0.715,0.101,0.096,2,3
affinity,0.149,0.077,0.965,0.945,0.97,0.95,2,3
KMeans,1.127,0.1,0.636,0.84,0.017,0.043,3,3
KMeans,0.154,0.086,0.95,0.956,0.952,0.958,3,3
specteral,2.864,0.022,0.651,0.811,0.041,0.066,3,3
specteral,0.18,0.094,0.945,0.956,0.945,0.956,3,3
affinity,5.596,0.004,0.794,0.739,0.198,0.177,3,3
affinity,0.101,0.057,0.974,0.956,0.979,0.962,3,3
KMeans,1.667,0.011,0.73,0.806,0.031,0.062,4,3
KMeans,0.16,0.089,0.944,0.955,0.947,0.959,4,3
specteral,1.257,0.02,0.753,0.792,0.057,0.085,4,3
specteral,0.16,0.085,0.948,0.955,0.951,0.959,4,3
affinity,3.031,0.046,0.8,0.699,0.173,0.15,4,3
affinity,0.144,0.078,0.963,0.955,0.963,0.956,4,3
KMeans,0.823,0.137,0.768,0.819,0.067,0.059,5,3
KMeans,0.126,0.077,0.949,0.955,0.957,0.963,5,3
specteral,0.513,0.085,0.774,0.817,0.195,0.194,5,3
specteral,0.134,0.071,0.951,0.955,0.961,0.965,5,3
affinity,0.7,0.133,0.841,0.846,0.048,0.009,5,3
affinity,0.114,0.069,0.957,0.955,0.965,0.963,5,3
KMeans,0.913,0.058,0.623,0.918,0.008,0.031,6,3
KMeans,0.134,0.082,0.942,0.966,0.946,0.969,6,3
specteral,0.254,0.046,0.652,0.902,0.019,0.032,6,3
specteral,0.116,0.069,0.944,0.966,0.953,0.975,6,3
affinity,0.572,0.014,0.705,0.83,0.196,0.223,6,3
affinity,0.113,0.062,0.962,0.966,0.966,0.97,6,3
KMeans,0.854,0.055,0.61,0.87,0.075,0.118,7,3
KMeans,0.143,0.079,0.951,0.962,0.953,0.964,7,3
KMeans,1.807,0.003,0.677,0.907,0.079,0.077,8,3
KMeans,0.129,0.07,0.946,0.961,0.956,0.971,8,3
specteral,4.634,0.095,0.674,0.913,0.048,0.073,8,3
specteral,0.15,0.083,0.942,0.961,0.947,0.966,8,3
affinity,1.281,0.003,0.812,0.871,0.604,0.591,8,3
affinity,0.126,0.07,0.963,0.961,0.965,0.963,8,3
KMeans,1.516,0.006,0.784,0.797,0.213,0.258,9,3
KMeans,0.134,0.076,0.951,0.96,0.956,0.965,9,3
KMeans,0.681,0.043,0.413,0.927,0.041,0.037,10,3
KMeans,0.138,0.076,0.944,0.98,0.943,0.978,10,3
specteral,1.336,0.056,0.409,0.898,0.076,0.102,10,3
specteral,0.124,0.065,0.956,0.98,0.955,0.979,10,3
affinity,0.723,0.053,0.424,0.883,0.057,0.052,10,3
affinity,0.114,0.058,0.963,0.98,0.962,0.979,10,3
