,winDiff,pk,coverage,purity,recall,precision
KMeans,0.276,0.071,0.557,0.946,0.001,0.016
KMeans,0.163,0.093,0.921,0.964,0.93,0.973
KMeans,0.798,0.437,0.921,0.964,0.31,0.141
KMeans,0.884,0.037,0.554,0.923,0.001,0.019
KMeans,0.156,0.09,0.933,0.964,0.937,0.968
KMeans,0.693,0.419,0.933,0.964,0.172,0.093
specteral,0.321,0.065,0.621,0.907,0.045,0.064
specteral,0.138,0.077,0.942,0.964,0.949,0.971
specteral,0.66,0.409,0.942,0.964,0.241,0.149
specteral,0.467,0.055,0.581,0.906,0.036,0.055
specteral,0.126,0.067,0.94,0.964,0.953,0.978
specteral,0.675,0.427,0.94,0.964,0.414,0.245
affinity,0.36,0.062,0.464,0.948,0.0,0.014
affinity,0.18,0.1,0.911,0.964,0.921,0.974
affinity,1.001,0.526,0.911,0.964,0.345,0.139
affinity,0.286,0.07,0.47,0.951,0.0,0.012
affinity,0.213,0.116,0.895,0.964,0.904,0.974
affinity,1.209,0.531,0.895,0.964,0.345,0.118
