,winDiff,pk,coverage,purity,recall,precision
KMeans,0.687,0.124,0.499,0.934,0.005,0.02
KMeans,0.191,0.101,0.913,0.969,0.919,0.975
KMeans,1.016,0.472,0.913,0.969,0.278,0.1
KMeans,0.556,0.092,0.516,0.934,0.024,0.042
KMeans,0.16,0.087,0.92,0.969,0.93,0.979
KMeans,0.954,0.482,0.92,0.969,0.389,0.152
specteral,0.42,0.07,0.57,0.886,0.042,0.05
specteral,0.132,0.071,0.946,0.969,0.952,0.974
specteral,0.668,0.488,0.946,0.969,0.222,0.129
specteral,0.336,0.056,0.556,0.925,0.036,0.042
specteral,0.16,0.087,0.931,0.969,0.936,0.974
specteral,0.72,0.456,0.931,0.969,0.222,0.1
affinity,0.566,0.094,0.463,0.948,0.019,0.035
affinity,0.174,0.095,0.905,0.969,0.918,0.983
affinity,1.214,0.514,0.905,0.969,0.5,0.164
affinity,0.64,0.11,0.487,0.965,0.011,0.02
affinity,0.198,0.111,0.903,0.969,0.909,0.975
affinity,1.171,0.484,0.903,0.969,0.278,0.089
