,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.726,0.043,0.594,0.874,0.096,0.118,1,1
KMeans,0.136,0.078,0.946,0.964,0.95,0.969,1,1
KMeans,0.57,0.383,0.946,0.964,0.172,0.114,1,1
KMeans,1.13,0.007,0.693,0.883,0.196,0.232,1,1
KMeans,0.106,0.062,0.957,0.964,0.964,0.972,1,1
KMeans,0.465,0.3,0.957,0.964,0.241,0.2,1,1
KMeans,0.819,0.03,0.621,0.88,0.111,0.14,1,1
KMeans,0.126,0.072,0.952,0.964,0.956,0.969,1,1
KMeans,0.533,0.346,0.952,0.964,0.172,0.128,1,1
specteral,0.307,0.067,0.604,0.9,0.082,0.109,1,1
specteral,0.116,0.067,0.949,0.964,0.958,0.973,1,1
specteral,0.578,0.398,0.949,0.964,0.276,0.195,1,1
specteral,0.493,0.053,0.622,0.888,0.07,0.074,1,1
specteral,0.133,0.078,0.946,0.964,0.95,0.969,1,1
specteral,0.661,0.429,0.946,0.964,0.172,0.114,1,1
specteral,0.692,0.037,0.605,0.904,0.088,0.098,1,1
specteral,0.119,0.068,0.946,0.964,0.955,0.974,1,1
specteral,0.666,0.434,0.946,0.964,0.31,0.205,1,1
affinity,1.827,0.006,0.641,0.849,0.157,0.184,1,1
affinity,0.119,0.067,0.962,0.964,0.964,0.967,1,1
affinity,0.55,0.385,0.962,0.964,0.103,0.097,1,1
affinity,0.738,0.037,0.628,0.862,0.071,0.096,1,1
affinity,0.121,0.067,0.957,0.964,0.962,0.969,1,1
affinity,0.569,0.399,0.957,0.964,0.172,0.143,1,1
affinity,0.759,0.037,0.596,0.889,0.126,0.136,1,1
affinity,0.114,0.067,0.954,0.964,0.96,0.97,1,1
affinity,0.568,0.402,0.954,0.964,0.207,0.162,1,1
KMeans,0.545,0.091,0.627,0.898,0.032,0.057,2,1
KMeans,0.142,0.08,0.941,0.969,0.945,0.972,2,1
KMeans,0.709,0.423,0.941,0.969,0.167,0.088,2,1
KMeans,0.388,0.065,0.645,0.887,0.047,0.055,2,1
KMeans,0.128,0.075,0.95,0.969,0.952,0.971,2,1
KMeans,0.622,0.461,0.95,0.969,0.111,0.069,2,1
KMeans,0.367,0.061,0.633,0.891,0.032,0.055,2,1
KMeans,0.156,0.081,0.943,0.969,0.945,0.971,2,1
KMeans,0.676,0.404,0.943,0.969,0.111,0.061,2,1
specteral,0.378,0.063,0.596,0.842,0.046,0.053,2,1
specteral,0.146,0.076,0.948,0.969,0.95,0.971,2,1
specteral,0.702,0.516,0.948,0.969,0.111,0.067,2,1
specteral,0.493,0.082,0.624,0.898,0.038,0.054,2,1
specteral,0.135,0.075,0.946,0.969,0.95,0.973,2,1
specteral,0.64,0.429,0.946,0.969,0.167,0.097,2,1
specteral,0.378,0.063,0.588,0.912,0.038,0.046,2,1
specteral,0.139,0.076,0.938,0.969,0.945,0.976,2,1
specteral,0.706,0.463,0.938,0.969,0.278,0.139,2,1
affinity,0.535,0.089,0.657,0.846,0.05,0.071,2,1
affinity,0.101,0.055,0.958,0.969,0.966,0.976,2,1
affinity,0.519,0.411,0.958,0.969,0.278,0.208,2,1
affinity,0.399,0.066,0.669,0.912,0.052,0.064,2,1
affinity,0.115,0.066,0.955,0.969,0.959,0.973,2,1
affinity,0.453,0.367,0.955,0.969,0.167,0.115,2,1
affinity,0.325,0.054,0.683,0.898,0.062,0.082,2,1
affinity,0.094,0.055,0.955,0.969,0.964,0.978,2,1
affinity,0.474,0.352,0.955,0.969,0.333,0.231,2,1
KMeans,0.899,0.122,0.461,0.93,0.004,0.029,3,1
KMeans,0.127,0.068,0.946,0.983,0.947,0.983,3,1
KMeans,1.345,0.567,0.946,0.983,0.091,0.029,3,1
KMeans,0.942,0.127,0.453,0.944,0.006,0.033,3,1
KMeans,0.121,0.065,0.952,0.983,0.951,0.982,3,1
KMeans,1.055,0.546,0.952,0.983,0.0,0.0,3,1
KMeans,0.7,0.082,0.444,0.913,0.028,0.039,3,1
KMeans,0.102,0.057,0.954,0.983,0.956,0.985,3,1
KMeans,1.127,0.564,0.954,0.983,0.182,0.069,3,1
specteral,0.261,0.029,0.458,0.955,0.048,0.061,3,1
specteral,0.115,0.059,0.949,0.983,0.953,0.987,3,1
specteral,1.063,0.493,0.949,0.983,0.273,0.094,3,1
specteral,0.614,0.087,0.44,0.955,0.001,0.027,3,1
specteral,0.124,0.067,0.941,0.983,0.945,0.986,3,1
specteral,1.303,0.547,0.941,0.983,0.273,0.081,3,1
specteral,0.348,0.039,0.44,0.946,0.041,0.061,3,1
specteral,0.124,0.067,0.948,0.983,0.948,0.983,3,1
specteral,1.275,0.549,0.948,0.983,0.091,0.03,3,1
affinity,0.232,0.026,0.504,0.898,0.077,0.1,3,1
affinity,0.092,0.046,0.965,0.983,0.968,0.985,3,1
affinity,0.763,0.481,0.965,0.983,0.182,0.091,3,1
affinity,0.203,0.023,0.523,0.913,0.082,0.112,3,1
affinity,0.092,0.052,0.965,0.983,0.964,0.982,3,1
affinity,0.767,0.509,0.965,0.983,0.0,0.0,3,1
affinity,0.986,0.132,0.477,0.908,0.014,0.04,3,1
affinity,0.099,0.057,0.96,0.983,0.96,0.982,3,1
affinity,0.892,0.534,0.96,0.983,0.0,0.0,3,1
KMeans,1.078,0.026,0.798,0.861,0.144,0.126,4,1
KMeans,0.149,0.083,0.951,0.96,0.953,0.961,4,1
KMeans,0.401,0.3,0.951,0.96,0.08,0.067,4,1
KMeans,0.515,0.0,0.838,0.851,0.154,0.144,4,1
KMeans,0.11,0.066,0.955,0.96,0.963,0.968,4,1
KMeans,0.292,0.224,0.955,0.96,0.24,0.214,4,1
KMeans,1.602,0.006,0.807,0.869,0.075,0.097,4,1
KMeans,0.123,0.071,0.953,0.96,0.96,0.966,4,1
KMeans,0.401,0.3,0.953,0.96,0.2,0.172,4,1
specteral,1.055,0.013,0.817,0.854,0.091,0.112,4,1
specteral,0.143,0.074,0.953,0.96,0.958,0.964,4,1
specteral,0.356,0.287,0.953,0.96,0.16,0.138,4,1
specteral,0.725,0.023,0.764,0.867,0.043,0.066,4,1
specteral,0.165,0.091,0.947,0.96,0.946,0.959,4,1
specteral,0.449,0.344,0.947,0.96,0.04,0.03,4,1
specteral,0.175,0.068,0.788,0.862,0.006,0.046,4,1
specteral,0.146,0.076,0.945,0.96,0.953,0.967,4,1
specteral,0.464,0.32,0.945,0.96,0.24,0.176,4,1
affinity,3.029,0.074,0.858,0.806,0.309,0.309,4,1
affinity,0.11,0.063,0.964,0.96,0.97,0.965,4,1
affinity,0.332,0.283,0.964,0.96,0.16,0.182,4,1
affinity,2.654,0.071,0.859,0.859,0.251,0.253,4,1
affinity,0.091,0.06,0.961,0.96,0.97,0.968,4,1
affinity,0.272,0.222,0.961,0.96,0.24,0.25,4,1
affinity,4.816,0.103,0.819,0.856,0.125,0.093,4,1
affinity,0.12,0.066,0.961,0.96,0.966,0.965,4,1
affinity,0.361,0.288,0.961,0.96,0.16,0.167,4,1
KMeans,1.0,0.021,0.622,0.872,0.023,0.057,5,1
KMeans,0.12,0.065,0.961,0.974,0.96,0.973,5,1
KMeans,0.613,0.404,0.961,0.974,0.0,0.0,5,1
KMeans,1.465,0.018,0.632,0.915,0.019,0.068,5,1
KMeans,0.108,0.059,0.961,0.974,0.964,0.976,5,1
KMeans,0.5,0.333,0.961,0.974,0.118,0.08,5,1
KMeans,1.422,0.018,0.559,0.915,0.015,0.048,5,1
KMeans,0.108,0.057,0.96,0.974,0.964,0.978,5,1
KMeans,0.533,0.38,0.96,0.974,0.176,0.115,5,1
specteral,2.0,0.012,0.586,0.895,0.068,0.079,5,1
specteral,0.108,0.057,0.96,0.974,0.964,0.978,5,1
specteral,0.565,0.403,0.96,0.974,0.176,0.115,5,1
specteral,1.231,0.015,0.621,0.884,0.077,0.08,5,1
specteral,0.123,0.063,0.96,0.974,0.96,0.974,5,1
specteral,0.654,0.417,0.96,0.974,0.059,0.038,5,1
specteral,1.606,0.015,0.562,0.903,0.016,0.06,5,1
specteral,0.117,0.062,0.955,0.974,0.959,0.977,5,1
specteral,0.721,0.456,0.955,0.974,0.176,0.103,5,1
affinity,8.265,0.126,0.587,0.815,0.134,0.135,5,1
affinity,0.102,0.055,0.971,0.974,0.97,0.973,5,1
affinity,0.587,0.434,0.971,0.974,0.0,0.0,5,1
affinity,3.782,0.061,0.595,0.875,0.095,0.089,5,1
affinity,0.105,0.055,0.965,0.974,0.967,0.976,5,1
affinity,0.562,0.399,0.965,0.974,0.118,0.087,5,1
affinity,3.677,0.061,0.559,0.84,0.092,0.087,5,1
affinity,0.102,0.051,0.963,0.974,0.968,0.979,5,1
affinity,0.622,0.447,0.963,0.974,0.235,0.167,5,1
KMeans,0.349,0.011,0.613,0.873,0.129,0.146,6,1
KMeans,0.138,0.075,0.95,0.966,0.953,0.969,6,1
KMeans,0.603,0.403,0.95,0.966,0.136,0.091,6,1
KMeans,0.542,0.054,0.584,0.904,0.01,0.04,6,1
KMeans,0.135,0.072,0.946,0.966,0.953,0.973,6,1
KMeans,0.571,0.37,0.946,0.966,0.227,0.143,6,1
KMeans,0.114,0.005,0.606,0.862,0.113,0.127,6,1
KMeans,0.135,0.073,0.948,0.966,0.953,0.971,6,1
KMeans,0.538,0.367,0.948,0.966,0.182,0.118,6,1
specteral,0.567,0.021,0.618,0.919,0.037,0.067,6,1
specteral,0.135,0.073,0.945,0.966,0.951,0.972,6,1
specteral,0.545,0.342,0.945,0.966,0.227,0.139,6,1
specteral,0.149,0.008,0.604,0.89,0.127,0.138,6,1
specteral,0.144,0.076,0.945,0.966,0.949,0.971,6,1
specteral,0.592,0.409,0.945,0.966,0.182,0.111,6,1
specteral,0.567,0.021,0.561,0.862,0.021,0.044,6,1
specteral,0.144,0.076,0.942,0.966,0.948,0.972,6,1
specteral,0.596,0.422,0.942,0.966,0.227,0.132,6,1
affinity,0.292,0.017,0.662,0.829,0.273,0.301,6,1
affinity,0.116,0.064,0.963,0.966,0.965,0.968,6,1
affinity,0.491,0.356,0.963,0.966,0.091,0.083,6,1
affinity,0.114,0.005,0.671,0.872,0.15,0.156,6,1
affinity,0.11,0.058,0.957,0.966,0.965,0.974,6,1
affinity,0.454,0.317,0.957,0.966,0.273,0.214,6,1
affinity,0.038,0.002,0.677,0.913,0.186,0.214,6,1
affinity,0.113,0.07,0.957,0.966,0.959,0.968,6,1
affinity,0.451,0.322,0.957,0.966,0.091,0.071,6,1
KMeans,0.23,0.01,0.72,0.852,0.091,0.1,7,1
KMeans,0.156,0.083,0.949,0.957,0.953,0.96,7,1
KMeans,0.506,0.359,0.949,0.957,0.125,0.107,7,1
KMeans,1.843,0.041,0.702,0.794,0.221,0.207,7,1
KMeans,0.123,0.067,0.955,0.957,0.964,0.966,7,1
KMeans,0.47,0.365,0.955,0.957,0.25,0.24,7,1
KMeans,0.591,0.012,0.816,0.852,0.14,0.131,7,1
KMeans,0.119,0.063,0.958,0.957,0.968,0.966,7,1
KMeans,0.387,0.289,0.958,0.957,0.25,0.261,7,1
specteral,0.23,0.01,0.72,0.865,0.116,0.125,7,1
specteral,0.123,0.074,0.948,0.957,0.957,0.966,7,1
specteral,0.478,0.354,0.948,0.957,0.25,0.207,7,1
specteral,0.13,0.012,0.765,0.814,0.1,0.106,7,1
specteral,0.137,0.078,0.951,0.957,0.957,0.962,7,1
specteral,0.452,0.3,0.951,0.957,0.167,0.148,7,1
specteral,0.23,0.01,0.65,0.884,0.047,0.064,7,1
specteral,0.148,0.085,0.937,0.957,0.945,0.965,7,1
specteral,0.496,0.357,0.937,0.957,0.25,0.171,7,1
affinity,0.821,0.01,0.774,0.834,0.174,0.174,7,1
affinity,0.127,0.074,0.958,0.957,0.962,0.96,7,1
affinity,0.467,0.357,0.958,0.957,0.125,0.13,7,1
affinity,1.01,0.024,0.823,0.796,0.199,0.158,7,1
affinity,0.108,0.06,0.962,0.957,0.972,0.966,7,1
affinity,0.4,0.284,0.962,0.957,0.25,0.286,7,1
affinity,0.701,0.006,0.778,0.872,0.356,0.332,7,1
affinity,0.123,0.069,0.957,0.957,0.964,0.964,7,1
affinity,0.428,0.319,0.957,0.957,0.208,0.208,7,1
KMeans,2.945,0.101,0.61,0.917,0.063,0.058,1,2
KMeans,0.137,0.082,0.946,0.966,0.947,0.967,1,2
KMeans,0.574,0.398,0.946,0.966,0.091,0.057,1,2
KMeans,6.031,0.215,0.669,0.897,0.044,0.044,1,2
KMeans,0.122,0.072,0.955,0.966,0.957,0.968,1,2
KMeans,0.487,0.348,0.955,0.966,0.091,0.069,1,2
KMeans,3.923,0.123,0.664,0.88,0.04,0.064,1,2
KMeans,0.119,0.066,0.955,0.966,0.96,0.971,1,2
KMeans,0.451,0.346,0.955,0.966,0.182,0.138,1,2
specteral,0.185,0.0,0.613,0.932,0.043,0.059,1,2
specteral,0.125,0.071,0.945,0.966,0.952,0.974,1,2
specteral,0.498,0.369,0.945,0.966,0.273,0.167,1,2
specteral,0.185,0.0,0.673,0.874,0.045,0.068,1,2
specteral,0.122,0.069,0.952,0.966,0.957,0.971,1,2
specteral,0.473,0.364,0.952,0.966,0.182,0.129,1,2
specteral,0.089,0.009,0.663,0.911,0.019,0.059,1,2
specteral,0.128,0.074,0.951,0.966,0.954,0.969,1,2
specteral,0.451,0.313,0.951,0.966,0.136,0.094,1,2
affinity,0.932,0.04,0.723,0.869,0.062,0.082,1,2
affinity,0.1,0.06,0.961,0.966,0.967,0.971,1,2
affinity,0.491,0.402,0.961,0.966,0.182,0.16,1,2
affinity,0.111,0.009,0.661,0.875,0.016,0.064,1,2
affinity,0.137,0.074,0.954,0.966,0.955,0.968,1,2
affinity,0.521,0.408,0.954,0.966,0.091,0.067,1,2
affinity,2.108,0.077,0.701,0.894,0.048,0.07,1,2
affinity,0.134,0.076,0.955,0.966,0.955,0.966,1,2
affinity,0.495,0.369,0.955,0.966,0.045,0.034,1,2
KMeans,2.603,0.091,0.49,0.919,0.123,0.134,2,2
KMeans,0.137,0.074,0.95,0.976,0.949,0.975,2,2
KMeans,0.897,0.541,0.95,0.976,0.0,0.0,2,2
KMeans,2.291,0.085,0.632,0.926,0.169,0.209,2,2
KMeans,0.116,0.062,0.959,0.976,0.959,0.977,2,2
KMeans,0.683,0.414,0.959,0.976,0.062,0.036,2,2
KMeans,2.091,0.079,0.488,0.926,0.144,0.181,2,2
KMeans,0.134,0.072,0.951,0.976,0.95,0.975,2,2
KMeans,0.792,0.48,0.951,0.976,0.0,0.0,2,2
specteral,1.6,0.056,0.551,0.924,0.074,0.102,2,2
specteral,0.116,0.062,0.95,0.976,0.955,0.981,2,2
specteral,0.842,0.464,0.95,0.976,0.25,0.118,2,2
specteral,0.176,0.018,0.479,0.938,0.09,0.093,2,2
specteral,0.14,0.076,0.944,0.976,0.944,0.977,2,2
specteral,0.882,0.476,0.944,0.976,0.062,0.026,2,2
specteral,3.4,0.158,0.493,0.922,0.034,0.036,2,2
specteral,0.125,0.069,0.949,0.976,0.95,0.978,2,2
specteral,0.948,0.536,0.949,0.976,0.125,0.057,2,2
affinity,2.735,0.091,0.619,0.943,0.12,0.114,2,2
affinity,0.105,0.057,0.963,0.976,0.964,0.977,2,2
affinity,0.592,0.403,0.963,0.976,0.062,0.04,2,2
affinity,2.291,0.085,0.562,0.944,0.14,0.205,2,2
affinity,0.105,0.059,0.959,0.976,0.961,0.979,2,2
affinity,0.64,0.456,0.959,0.976,0.125,0.071,2,2
affinity,0.247,0.009,0.546,0.932,0.218,0.218,2,2
affinity,0.102,0.051,0.96,0.976,0.965,0.982,2,2
affinity,0.604,0.45,0.96,0.976,0.25,0.148,2,2
KMeans,0.222,0.025,0.853,0.805,0.188,0.181,3,2
KMeans,0.134,0.07,0.959,0.957,0.964,0.963,3,2
KMeans,0.461,0.339,0.959,0.957,0.167,0.174,3,2
KMeans,0.786,0.034,0.784,0.832,0.11,0.102,3,2
KMeans,0.152,0.081,0.955,0.957,0.957,0.959,3,2
KMeans,0.464,0.338,0.955,0.957,0.083,0.08,3,2
KMeans,1.309,0.059,0.8,0.798,0.126,0.091,3,2
KMeans,0.149,0.079,0.961,0.957,0.961,0.957,3,2
KMeans,0.464,0.37,0.961,0.957,0.042,0.045,3,2
specteral,0.229,0.008,0.807,0.871,0.102,0.123,3,2
