,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.446,0.056,0.604,0.899,0.001,0.021,1,1
KMeans,0.148,0.081,0.942,0.964,0.946,0.969,1,1
KMeans,0.629,0.391,0.942,0.964,0.172,0.106,1,1
KMeans,0.204,0.037,0.622,0.906,0.228,0.224,1,1
KMeans,0.121,0.065,0.951,0.964,0.959,0.973,1,1
KMeans,0.589,0.378,0.951,0.964,0.276,0.2,1,1
KMeans,0.249,0.04,0.578,0.884,0.075,0.103,1,1
KMeans,0.158,0.083,0.948,0.964,0.949,0.965,1,1
KMeans,0.687,0.455,0.948,0.964,0.069,0.048,1,1
specteral,0.298,0.068,0.625,0.836,0.045,0.078,1,1
specteral,0.138,0.074,0.954,0.964,0.956,0.966,1,1
specteral,0.687,0.486,0.954,0.964,0.103,0.081,1,1
specteral,0.422,0.058,0.617,0.87,0.185,0.198,1,1
specteral,0.131,0.075,0.953,0.964,0.955,0.966,1,1
specteral,0.628,0.439,0.953,0.964,0.103,0.079,1,1
specteral,0.422,0.058,0.64,0.854,0.087,0.104,1,1
specteral,0.133,0.072,0.954,0.964,0.958,0.968,1,1
specteral,0.686,0.471,0.954,0.964,0.138,0.108,1,1
affinity,1.827,0.006,0.702,0.843,0.144,0.137,1,1
affinity,0.104,0.06,0.965,0.964,0.969,0.968,1,1
affinity,0.499,0.33,0.965,0.964,0.138,0.143,1,1
affinity,1.347,0.009,0.683,0.847,0.183,0.192,1,1
affinity,0.114,0.058,0.963,0.964,0.969,0.971,1,1
affinity,0.552,0.381,0.963,0.964,0.207,0.2,1,1
affinity,0.456,0.049,0.664,0.825,0.11,0.125,1,1
affinity,0.119,0.065,0.963,0.964,0.965,0.967,1,1
affinity,0.642,0.463,0.963,0.964,0.103,0.1,1,1
KMeans,0.514,0.086,0.556,0.925,0.029,0.05,2,1
KMeans,0.16,0.08,0.934,0.969,0.941,0.976,2,1
KMeans,0.699,0.44,0.934,0.969,0.278,0.132,2,1
KMeans,0.294,0.049,0.596,0.912,0.047,0.058,2,1
KMeans,0.142,0.08,0.941,0.969,0.945,0.972,2,1
KMeans,0.661,0.407,0.941,0.969,0.167,0.088,2,1
KMeans,0.252,0.042,0.669,0.912,0.072,0.09,2,1
KMeans,0.122,0.071,0.953,0.969,0.955,0.971,2,1
KMeans,0.513,0.375,0.953,0.969,0.111,0.074,2,1
specteral,0.388,0.065,0.659,0.834,0.069,0.084,2,1
specteral,0.115,0.064,0.957,0.969,0.961,0.973,2,1
specteral,0.565,0.464,0.957,0.969,0.167,0.12,2,1
specteral,0.315,0.052,0.653,0.837,0.059,0.066,2,1
specteral,0.128,0.071,0.953,0.969,0.955,0.971,2,1
specteral,0.59,0.445,0.953,0.969,0.111,0.074,2,1
specteral,0.503,0.084,0.655,0.816,0.045,0.071,2,1
specteral,0.142,0.076,0.955,0.969,0.953,0.967,2,1
specteral,0.61,0.464,0.955,0.969,0.0,0.0,2,1
affinity,0.304,0.051,0.721,0.795,0.404,0.353,2,1
affinity,0.101,0.054,0.971,0.969,0.973,0.971,2,1
affinity,0.51,0.431,0.971,0.969,0.111,0.118,2,1
affinity,0.315,0.052,0.73,0.887,0.179,0.182,2,1
affinity,0.101,0.059,0.962,0.969,0.966,0.973,2,1
affinity,0.419,0.322,0.962,0.969,0.167,0.136,2,1
affinity,0.294,0.049,0.723,0.861,0.207,0.244,2,1
affinity,0.097,0.052,0.962,0.969,0.97,0.977,2,1
affinity,0.449,0.358,0.962,0.969,0.278,0.227,2,1
KMeans,0.87,0.119,0.424,0.93,0.011,0.03,3,1
KMeans,0.127,0.07,0.948,0.983,0.947,0.982,3,1
KMeans,1.322,0.579,0.948,0.983,0.0,0.0,3,1
KMeans,0.623,0.092,0.455,0.946,0.004,0.029,3,1
KMeans,0.127,0.068,0.946,0.983,0.947,0.983,3,1
KMeans,1.232,0.564,0.946,0.983,0.091,0.029,3,1
KMeans,0.638,0.093,0.402,0.935,0.011,0.029,3,1
KMeans,0.127,0.065,0.946,0.983,0.948,0.985,3,1
KMeans,1.318,0.614,0.946,0.983,0.182,0.059,3,1
specteral,1.124,0.132,0.486,0.935,0.007,0.029,3,1
specteral,0.124,0.068,0.946,0.983,0.947,0.983,3,1
specteral,1.178,0.529,0.946,0.983,0.091,0.029,3,1
specteral,1.121,0.135,0.491,0.943,0.01,0.038,3,1
specteral,0.105,0.052,0.959,0.983,0.961,0.985,3,1
specteral,0.887,0.524,0.959,0.983,0.182,0.077,3,1
specteral,1.021,0.122,0.555,0.927,0.017,0.046,3,1
specteral,0.092,0.046,0.962,0.983,0.966,0.987,3,1
specteral,0.878,0.498,0.962,0.983,0.273,0.125,3,1
affinity,0.261,0.029,0.598,0.844,0.091,0.116,3,1
affinity,0.067,0.035,0.973,0.983,0.977,0.987,3,1
affinity,0.787,0.511,0.973,0.983,0.273,0.176,3,1
affinity,0.768,0.108,0.539,0.94,0.006,0.04,3,1
affinity,0.102,0.054,0.96,0.983,0.961,0.983,3,1
affinity,0.895,0.507,0.96,0.983,0.091,0.04,3,1
affinity,1.171,0.153,0.569,0.933,0.006,0.042,3,1
affinity,0.102,0.056,0.962,0.983,0.961,0.982,3,1
affinity,0.832,0.449,0.962,0.983,0.0,0.0,3,1
KMeans,0.472,0.042,0.744,0.875,0.041,0.06,4,1
KMeans,0.162,0.091,0.943,0.96,0.944,0.961,4,1
KMeans,0.48,0.348,0.943,0.96,0.08,0.057,4,1
KMeans,0.524,0.039,0.777,0.835,0.006,0.047,4,1
KMeans,0.133,0.074,0.95,0.96,0.956,0.966,4,1
KMeans,0.417,0.325,0.95,0.96,0.2,0.161,4,1
KMeans,1.291,0.0,0.786,0.817,0.389,0.366,4,1
KMeans,0.123,0.073,0.958,0.96,0.961,0.963,4,1
KMeans,0.455,0.394,0.958,0.96,0.12,0.115,4,1
KMeans,1.708,0.009,0.544,0.924,0.057,0.064,5,1
KMeans,0.123,0.063,0.951,0.974,0.956,0.979,5,1
KMeans,0.644,0.399,0.951,0.974,0.235,0.125,5,1
KMeans,3.025,0.025,0.604,0.869,0.092,0.101,5,1
KMeans,0.114,0.059,0.961,0.974,0.964,0.976,5,1
KMeans,0.595,0.393,0.961,0.974,0.118,0.08,5,1
KMeans,3.178,0.021,0.626,0.883,0.053,0.078,5,1
KMeans,0.117,0.06,0.96,0.974,0.962,0.976,5,1
