,winDiff,pk,coverage,purity,recall,precision
KMeans,1.259,0.034,0.703,0.894,0.047,0.065
KMeans,0.156,0.088,0.927,0.957,0.938,0.969
KMeans,0.612,0.321,0.927,0.957,0.333,0.195
KMeans,0.239,0.017,0.691,0.887,0.11,0.109
KMeans,0.17,0.098,0.93,0.957,0.935,0.962
KMeans,0.556,0.332,0.93,0.957,0.167,0.103
specteral,0.282,0.011,0.73,0.846,0.14,0.155
specteral,0.163,0.088,0.945,0.957,0.948,0.96
specteral,0.497,0.345,0.945,0.957,0.125,0.097
specteral,0.883,0.04,0.66,0.852,0.046,0.064
specteral,0.17,0.091,0.941,0.957,0.944,0.96
specteral,0.569,0.409,0.941,0.957,0.125,0.091
affinity,0.178,0.002,0.66,0.903,0.089,0.111
affinity,0.149,0.084,0.934,0.957,0.944,0.967
affinity,0.552,0.365,0.934,0.957,0.292,0.189
affinity,0.307,0.034,0.701,0.925,0.003,0.022
affinity,0.181,0.104,0.918,0.957,0.925,0.965
affinity,0.649,0.323,0.918,0.957,0.25,0.13
