,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.773,0.028,0.636,0.888,0.193,0.201,1,1
KMeans,0.126,0.069,0.954,0.964,0.959,0.969,1,1
KMeans,0.533,0.371,0.954,0.964,0.172,0.135,1,1
KMeans,2.179,0.01,0.675,0.842,0.093,0.102,1,1
KMeans,0.121,0.065,0.96,0.964,0.964,0.968,1,1
KMeans,0.514,0.348,0.96,0.964,0.138,0.125,1,1
specteral,0.293,0.068,0.609,0.902,0.077,0.095,1,1
specteral,0.119,0.065,0.948,0.964,0.958,0.974,1,1
specteral,0.577,0.418,0.948,0.964,0.31,0.214,1,1
specteral,1.536,0.006,0.622,0.916,0.148,0.152,1,1
specteral,0.111,0.058,0.948,0.964,0.962,0.978,1,1
specteral,0.525,0.345,0.948,0.964,0.414,0.286,1,1
affinity,1.827,0.006,0.641,0.849,0.157,0.184,1,1
affinity,0.119,0.067,0.962,0.964,0.964,0.967,1,1
affinity,0.55,0.385,0.962,0.964,0.103,0.097,1,1
affinity,0.759,0.037,0.607,0.872,0.193,0.214,1,1
affinity,0.101,0.057,0.954,0.964,0.965,0.975,1,1
affinity,0.575,0.417,0.954,0.964,0.345,0.27,1,1
KMeans,0.472,0.079,0.619,0.905,0.034,0.057,2,1
KMeans,0.135,0.075,0.943,0.969,0.948,0.974,2,1
KMeans,0.624,0.386,0.943,0.969,0.222,0.121,2,1
KMeans,0.441,0.073,0.577,0.901,0.036,0.055,2,1
KMeans,0.128,0.068,0.939,0.969,0.95,0.98,2,1
KMeans,0.725,0.482,0.939,0.969,0.389,0.2,2,1
specteral,0.399,0.066,0.582,0.88,0.036,0.042,2,1
specteral,0.16,0.085,0.936,0.969,0.939,0.972,2,1
specteral,0.75,0.47,0.936,0.969,0.167,0.081,2,1
specteral,0.388,0.065,0.603,0.894,0.041,0.049,2,1
specteral,0.125,0.075,0.943,0.969,0.948,0.974,2,1
specteral,0.645,0.427,0.943,0.969,0.222,0.121,2,1
affinity,0.535,0.089,0.657,0.846,0.05,0.071,2,1
affinity,0.101,0.055,0.958,0.969,0.966,0.976,2,1
affinity,0.519,0.411,0.958,0.969,0.278,0.208,2,1
affinity,0.346,0.058,0.695,0.919,0.058,0.087,2,1
