,winDiff,pk,coverage,purity,recall,precision
KMeans,0.249,0.077,0.527,0.941,0.0,0.012
KMeans,0.198,0.11,0.899,0.964,0.909,0.975
KMeans,1.049,0.447,0.899,0.964,0.379,0.134
KMeans,0.923,0.036,0.506,0.94,0.009,0.027
KMeans,0.2,0.109,0.907,0.964,0.914,0.971
KMeans,1.054,0.493,0.907,0.964,0.276,0.107
specteral,0.249,0.077,0.883,0.452,0.035,0.037
specteral,0.114,0.06,0.968,0.964,0.971,0.967
specteral,0.616,0.334,0.968,0.964,0.103,0.115
specteral,0.249,0.077,0.781,0.627,0.001,0.026
specteral,0.119,0.068,0.953,0.964,0.959,0.97
specteral,0.626,0.335,0.953,0.964,0.207,0.158
affinity,0.249,0.077,0.636,0.784,0.0,0.013
affinity,0.195,0.109,0.902,0.964,0.912,0.974
affinity,1.139,0.366,0.902,0.964,0.345,0.127
affinity,0.249,0.077,0.578,0.775,0.001,0.014
affinity,0.18,0.098,0.914,0.964,0.923,0.974
affinity,0.965,0.417,0.914,0.964,0.345,0.143
