,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.498,0.053,0.593,0.938,0.001,0.017,1,1
KMeans,0.156,0.088,0.928,0.964,0.936,0.972,1,1
KMeans,0.677,0.384,0.928,0.964,0.276,0.138,1,1
KMeans,0.493,0.053,0.57,0.92,0.08,0.094,1,1
KMeans,0.143,0.079,0.937,0.964,0.945,0.972,1,1
KMeans,0.651,0.408,0.937,0.964,0.276,0.157,1,1
KMeans,0.441,0.056,0.548,0.911,0.031,0.058,1,1
KMeans,1.802,0.922,0.936,0.964,0.055,0.827,1,1
KMeans,0.711,0.445,0.936,0.964,0.31,0.173,1,1
specteral,0.286,0.07,0.478,0.957,0.0,0.011,1,1
specteral,0.218,0.122,0.891,0.964,0.899,0.972,1,1
specteral,1.166,0.486,0.891,0.964,0.31,0.102,1,1
specteral,0.326,0.065,0.509,0.941,0.0,0.011,1,1
specteral,0.247,0.138,0.888,0.964,0.889,0.965,1,1
specteral,1.245,0.481,0.888,0.964,0.138,0.044,1,1
specteral,0.249,0.077,0.525,0.958,0.0,0.013,1,1
specteral,1.738,0.896,0.905,0.964,0.085,0.857,1,1
specteral,0.971,0.439,0.905,0.964,0.379,0.143,1,1
affinity,0.4,0.059,0.544,0.888,0.081,0.093,1,1
affinity,0.133,0.075,0.941,0.964,0.949,0.972,1,1
affinity,0.698,0.46,0.941,0.964,0.276,0.167,1,1
affinity,0.298,0.068,0.523,0.911,0.001,0.017,1,1
affinity,0.163,0.093,0.928,0.964,0.933,0.969,1,1
affinity,0.82,0.481,0.928,0.964,0.207,0.103,1,1
affinity,0.298,0.068,0.546,0.922,0.001,0.018,1,1
affinity,1.79,0.914,0.93,0.964,0.063,0.86,1,1
affinity,0.827,0.469,0.93,0.964,0.276,0.14,1,1
KMeans,0.43,0.072,0.492,0.934,0.026,0.04,2,1
KMeans,0.198,0.106,0.915,0.969,0.918,0.972,2,1
KMeans,1.007,0.495,0.915,0.969,0.167,0.061,2,1
KMeans,0.43,0.072,0.567,0.939,0.03,0.045,2,1
KMeans,0.146,0.075,0.925,0.969,0.939,0.983,2,1
KMeans,0.824,0.447,0.925,0.969,0.5,0.209,2,1
KMeans,0.503,0.084,0.534,0.898,0.028,0.046,2,1
KMeans,1.792,0.91,0.927,0.969,0.068,0.905,2,1
KMeans,0.836,0.48,0.927,0.969,0.222,0.095,2,1
specteral,0.587,0.098,0.412,0.948,0.011,0.022,2,1
specteral,0.257,0.13,0.873,0.969,0.884,0.98,2,1
specteral,1.636,0.491,0.873,0.969,0.444,0.11,2,1
specteral,0.566,0.094,0.393,0.943,0.012,0.022,2,1
specteral,0.267,0.146,0.868,0.969,0.873,0.974,2,1
specteral,1.765,0.536,0.868,0.969,0.278,0.066,2,1
specteral,0.566,0.094,0.425,0.945,0.013,0.024,2,1
specteral,1.694,0.861,0.879,0.969,0.118,0.943,2,1
specteral,1.558,0.505,0.879,0.969,0.222,0.057,2,1
affinity,0.42,0.07,0.608,0.886,0.039,0.049,2,1
affinity,0.146,0.076,0.941,0.969,0.946,0.974,2,1
affinity,0.693,0.415,0.941,0.969,0.222,0.118,2,1
affinity,0.671,0.115,0.586,0.929,0.01,0.028,2,1
affinity,0.139,0.073,0.931,0.969,0.943,0.981,2,1
affinity,0.797,0.425,0.931,0.969,0.444,0.2,2,1
affinity,0.545,0.091,0.614,0.922,0.03,0.052,2,1
affinity,1.809,0.919,0.936,0.969,0.059,0.892,2,1
affinity,0.697,0.384,0.936,0.969,0.222,0.108,2,1
KMeans,0.768,0.108,0.343,0.962,0.004,0.022,3,1
KMeans,0.15,0.081,0.927,0.983,0.93,0.986,3,1
KMeans,1.68,0.607,0.927,0.983,0.273,0.065,3,1
KMeans,0.768,0.108,0.356,0.952,0.003,0.021,3,1
KMeans,0.166,0.086,0.925,0.983,0.927,0.985,3,1
KMeans,1.758,0.586,0.925,0.983,0.182,0.043,3,1
KMeans,0.696,0.09,0.37,0.96,0.017,0.022,3,1
KMeans,1.822,0.917,0.928,0.983,0.07,0.956,3,1
KMeans,1.707,0.582,0.928,0.983,0.182,0.044,3,1
specteral,0.607,0.087,0.313,0.967,0.001,0.014,3,1
specteral,0.242,0.129,0.882,0.983,0.883,0.984,3,1
specteral,2.943,0.579,0.882,0.983,0.182,0.027,3,1
specteral,0.607,0.087,0.326,0.967,0.001,0.013,3,1
specteral,0.258,0.138,0.876,0.983,0.875,0.982,3,1
specteral,3.232,0.557,0.876,0.983,0.091,0.013,3,1
specteral,0.681,0.098,0.302,0.968,0.002,0.014,3,1
specteral,1.729,0.871,0.882,0.983,0.117,0.973,3,1
specteral,3.055,0.594,0.882,0.983,0.182,0.027,3,1
affinity,1.185,0.154,0.464,0.97,0.004,0.027,3,1
affinity,0.127,0.07,0.941,0.983,0.943,0.985,3,1
affinity,1.312,0.549,0.941,0.983,0.182,0.054,3,1
affinity,0.768,0.108,0.436,0.954,0.004,0.026,3,1
affinity,0.14,0.075,0.94,0.983,0.94,0.983,3,1
affinity,1.338,0.546,0.94,0.983,0.091,0.026,3,1
affinity,0.783,0.109,0.353,0.943,0.003,0.024,3,1
affinity,1.834,0.927,0.935,0.983,0.061,0.927,3,1
affinity,1.527,0.596,0.935,0.983,0.273,0.073,3,1
KMeans,0.893,0.026,0.757,0.914,0.088,0.084,4,1
KMeans,0.149,0.083,0.939,0.96,0.946,0.967,4,1
KMeans,0.47,0.303,0.939,0.96,0.24,0.158,4,1
KMeans,0.9,0.039,0.738,0.908,0.035,0.048,4,1
KMeans,0.162,0.094,0.937,0.96,0.939,0.962,4,1
KMeans,0.503,0.313,0.937,0.96,0.12,0.077,4,1
KMeans,0.23,0.052,0.759,0.9,0.009,0.039,4,1
KMeans,1.796,0.917,0.939,0.96,0.054,0.842,4,1
