,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.244,0.077,0.502,0.928,0.001,0.015,1,1
KMeans,0.193,0.105,0.919,0.964,0.922,0.968,1,1
KMeans,0.847,0.468,0.919,0.964,0.172,0.076,1,1
KMeans,0.582,0.049,0.575,0.944,0.001,0.016,1,1
KMeans,0.178,0.101,0.922,0.964,0.926,0.968,1,1
KMeans,0.853,0.433,0.922,0.964,0.172,0.079,1,1
KMeans,0.582,0.049,0.502,0.912,0.001,0.016,1,1
KMeans,1.778,0.907,0.923,0.964,0.069,0.871,1,1
KMeans,0.839,0.494,0.923,0.964,0.276,0.129,1,1
specteral,0.286,0.07,0.454,0.943,0.0,0.011,1,1
specteral,0.232,0.13,0.889,0.964,0.894,0.969,1,1
specteral,1.221,0.519,0.889,0.964,0.241,0.078,1,1
specteral,0.249,0.077,0.477,0.933,0.0,0.012,1,1
specteral,0.203,0.111,0.9,0.964,0.909,0.974,1,1
specteral,1.063,0.512,0.9,0.964,0.345,0.123,1,1
specteral,0.249,0.077,0.456,0.941,0.0,0.012,1,1
specteral,1.728,0.881,0.9,0.964,0.095,0.914,1,1
specteral,1.063,0.518,0.9,0.964,0.241,0.086,1,1
affinity,0.4,0.059,0.548,0.878,0.043,0.059,1,1
affinity,0.161,0.089,0.94,0.964,0.941,0.966,1,1
affinity,0.685,0.437,0.94,0.964,0.103,0.061,1,1
affinity,0.396,0.052,0.553,0.909,0.005,0.02,1,1
affinity,0.158,0.083,0.938,0.964,0.944,0.97,1,1
affinity,0.73,0.459,0.938,0.964,0.207,0.12,1,1
affinity,0.298,0.068,0.559,0.902,0.001,0.019,1,1
affinity,1.8,0.925,0.936,0.964,0.054,0.808,1,1
affinity,0.758,0.462,0.936,0.964,0.345,0.192,1,1
KMeans,0.619,0.108,0.473,0.946,0.013,0.017,2,1
KMeans,0.198,0.107,0.899,0.969,0.909,0.979,2,1
KMeans,1.242,0.48,0.899,0.969,0.389,0.121,2,1
