,winDiff,pk,coverage,purity,recall,precision
KMeans,1.136,0.01,0.634,0.862,0.022,0.037
KMeans,0.243,0.133,0.905,0.96,0.902,0.957
KMeans,0.926,0.387,0.905,0.96,0.04,0.017
KMeans,2.417,0.029,0.642,0.896,0.026,0.04
KMeans,0.182,0.104,0.917,0.96,0.924,0.966
KMeans,0.675,0.333,0.917,0.96,0.24,0.118
specteral,0.152,0.071,0.793,0.447,0.002,0.034
specteral,0.156,0.084,0.953,0.96,0.953,0.959
specteral,0.785,0.527,0.953,0.96,0.04,0.034
specteral,0.152,0.071,0.704,0.757,0.002,0.022
specteral,0.185,0.1,0.927,0.96,0.931,0.963
specteral,0.739,0.448,0.927,0.96,0.16,0.089
affinity,0.152,0.071,0.629,0.798,0.001,0.017
affinity,0.201,0.113,0.905,0.96,0.912,0.968
affinity,0.957,0.437,0.905,0.96,0.28,0.119
affinity,0.152,0.071,0.621,0.806,0.001,0.016
affinity,0.233,0.131,0.896,0.96,0.899,0.962
affinity,0.962,0.414,0.896,0.96,0.16,0.062
