,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.649,0.046,0.664,0.89,0.001,0.024,1,1
KMeans,0.133,0.07,0.948,0.964,0.955,0.971,1,1
KMeans,0.559,0.361,0.948,0.964,0.241,0.167,1,1
KMeans,1.356,0.003,0.714,0.856,0.143,0.139,1,1
KMeans,0.104,0.057,0.959,0.964,0.968,0.973,1,1
KMeans,0.5,0.309,0.959,0.964,0.276,0.242,1,1
specteral,0.244,0.081,0.849,0.517,0.001,0.031,1,1
specteral,0.121,0.065,0.96,0.964,0.964,0.968,1,1
specteral,0.673,0.338,0.96,0.964,0.138,0.125,1,1
specteral,0.244,0.081,0.717,0.715,0.001,0.019,1,1
specteral,0.163,0.086,0.935,0.964,0.94,0.97,1,1
specteral,0.765,0.332,0.935,0.964,0.207,0.113,1,1
affinity,0.286,0.07,0.763,0.607,0.001,0.027,1,1
affinity,0.119,0.064,0.954,0.964,0.962,0.972,1,1
affinity,0.584,0.326,0.954,0.964,0.241,0.189,1,1
affinity,0.286,0.07,0.725,0.709,0.001,0.029,1,1
affinity,0.111,0.057,0.957,0.964,0.967,0.974,1,1
affinity,0.54,0.355,0.957,0.964,0.31,0.257,1,1
KMeans,0.556,0.092,0.674,0.806,0.042,0.069,2,1
KMeans,0.135,0.069,0.955,0.969,0.957,0.971,2,1
KMeans,0.537,0.367,0.955,0.969,0.111,0.077,2,1
KMeans,0.42,0.07,0.672,0.773,0.155,0.156,2,1
KMeans,0.125,0.066,0.962,0.969,0.962,0.969,2,1
KMeans,0.561,0.443,0.962,0.969,0.056,0.045,2,1
specteral,0.65,0.122,0.695,0.575,0.011,0.028,2,1
specteral,0.167,0.087,0.938,0.969,0.939,0.97,2,1
specteral,1.18,0.544,0.938,0.969,0.111,0.056,2,1
specteral,0.671,0.115,0.593,0.809,0.009,0.022,2,1
specteral,0.188,0.099,0.915,0.969,0.921,0.975,2,1
specteral,1.194,0.445,0.915,0.969,0.278,0.102,2,1
affinity,0.668,0.12,0.735,0.591,0.018,0.045,2,1
affinity,0.108,0.055,0.962,0.969,0.968,0.975,2,1
affinity,0.706,0.438,0.962,0.969,0.222,0.182,2,1
affinity,0.643,0.108,0.697,0.745,0.021,0.046,2,1
affinity,0.142,0.073,0.951,0.969,0.953,0.971,2,1
affinity,0.667,0.411,0.951,0.969,0.111,0.071,2,1
KMeans,0.783,0.109,0.442,0.901,0.018,0.033,3,1
KMeans,0.105,0.056,0.952,0.983,0.956,0.987,3,1
KMeans,1.27,0.489,0.952,0.983,0.273,0.1,3,1
KMeans,0.609,0.068,0.42,0.898,0.033,0.046,3,1
KMeans,0.121,0.064,0.951,0.983,0.951,0.983,3,1
KMeans,1.3,0.574,0.951,0.983,0.091,0.032,3,1
specteral,0.575,0.082,0.469,0.79,0.001,0.022,3,1
specteral,0.175,0.091,0.927,0.983,0.926,0.981,3,1
specteral,2.162,0.601,0.927,0.983,0.0,0.0,3,1
specteral,0.593,0.085,0.413,0.808,0.002,0.022,3,1
specteral,0.169,0.089,0.928,0.983,0.927,0.981,3,1
specteral,2.027,0.639,0.928,0.983,0.0,0.0,3,1
