,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.127,0.07,0.832,0.782,0.968,0.959,1,1
KMeans,0.123,0.069,0.826,0.746,0.97,0.958,1,1
KMeans,0.129,0.07,0.802,0.785,0.969,0.958,1,1
KMeans,0.204,0.11,0.608,0.896,0.922,0.961,1,1
KMeans,0.17,0.098,0.639,0.889,0.936,0.961,1,1
KMeans,1.783,0.906,0.691,0.884,0.06,0.889,1,1
specteral,0.125,0.068,0.734,0.717,0.97,0.959,1,1
specteral,0.131,0.07,0.765,0.812,0.966,0.961,1,1
specteral,0.127,0.07,0.77,0.765,0.969,0.958,1,1
specteral,0.188,0.103,0.574,0.858,0.93,0.961,1,1
specteral,0.198,0.117,0.587,0.896,0.914,0.962,1,1
specteral,1.716,0.879,0.577,0.903,0.092,0.896,1,1
affinity,0.121,0.064,0.756,0.78,0.971,0.962,1,1
affinity,0.129,0.071,0.772,0.826,0.965,0.961,1,1
affinity,0.127,0.071,0.749,0.82,0.965,0.961,1,1
affinity,0.125,0.071,0.729,0.849,0.961,0.965,1,1
affinity,0.141,0.084,0.721,0.885,0.953,0.959,1,1
affinity,1.81,0.921,0.695,0.876,0.045,0.84,1,1
KMeans,0.09,0.048,0.841,0.809,0.977,0.973,1,2
KMeans,0.09,0.051,0.872,0.842,0.977,0.971,1,2
KMeans,0.073,0.043,0.877,0.857,0.98,0.976,1,2
KMeans,0.147,0.086,0.656,0.94,0.94,0.97,1,2
KMeans,0.128,0.072,0.693,0.896,0.954,0.971,1,2
KMeans,1.823,0.93,0.681,0.893,0.048,0.83,1,2
specteral,0.087,0.048,0.871,0.817,0.977,0.973,1,2
specteral,0.102,0.053,0.848,0.78,0.974,0.971,1,2
specteral,0.099,0.055,0.844,0.817,0.973,0.97,1,2
specteral,0.151,0.087,0.668,0.927,0.933,0.976,1,2
specteral,0.125,0.074,0.62,0.936,0.943,0.98,1,2
specteral,1.811,0.92,0.66,0.89,0.056,0.885,1,2
affinity,0.078,0.044,0.871,0.867,0.979,0.976,1,2
affinity,0.09,0.052,0.816,0.877,0.972,0.974,1,2
affinity,0.109,0.064,0.808,0.872,0.966,0.968,1,2
affinity,0.09,0.05,0.821,0.869,0.973,0.976,1,2
affinity,0.099,0.058,0.718,0.902,0.965,0.975,1,2
affinity,1.839,0.934,0.681,0.91,0.042,0.85,1,2
KMeans,0.115,0.066,0.776,0.86,0.963,0.968,1,3
KMeans,0.12,0.066,0.766,0.793,0.964,0.967,1,3
KMeans,0.102,0.058,0.815,0.836,0.971,0.969,1,3
KMeans,0.175,0.092,0.596,0.919,0.932,0.971,1,3
KMeans,0.162,0.089,0.602,0.93,0.937,0.97,1,3
KMeans,1.794,0.904,0.629,0.944,0.069,0.952,1,3
specteral,0.102,0.059,0.839,0.866,0.97,0.969,1,3
specteral,0.093,0.05,0.836,0.849,0.975,0.974,1,3
specteral,0.093,0.053,0.808,0.887,0.973,0.973,1,3
specteral,0.173,0.097,0.556,0.949,0.922,0.976,1,3
specteral,0.173,0.101,0.523,0.962,0.919,0.976,1,3
specteral,1.761,0.893,0.519,0.946,0.084,0.924,1,3
affinity,0.106,0.061,0.81,0.872,0.968,0.969,1,3
affinity,0.104,0.064,0.76,0.872,0.964,0.969,1,3
affinity,0.098,0.062,0.754,0.905,0.966,0.97,1,3
affinity,0.122,0.071,0.703,0.897,0.959,0.968,1,3
affinity,0.122,0.07,0.7,0.921,0.958,0.97,1,3
affinity,1.836,0.928,0.7,0.935,0.046,0.889,1,3
KMeans,0.075,0.04,0.859,0.832,0.98,0.979,1,4
