,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.133,0.069,0.783,0.774,0.968,0.96,1,1
KMeans,0.125,0.065,0.809,0.783,0.971,0.961,1,1
KMeans,0.129,0.07,0.824,0.762,0.969,0.958,1,1
KMeans,0.192,0.109,0.624,0.89,0.926,0.958,1,1
KMeans,0.192,0.106,0.648,0.893,0.927,0.96,1,1
KMeans,1.743,0.88,0.59,0.895,0.084,0.952,1,1
specteral,0.137,0.073,0.753,0.729,0.968,0.956,1,1
specteral,0.153,0.086,0.722,0.827,0.953,0.957,1,1
specteral,0.137,0.073,0.798,0.779,0.966,0.958,1,1
specteral,0.225,0.126,0.607,0.899,0.903,0.964,1,1
specteral,0.215,0.126,0.598,0.92,0.903,0.964,1,1
specteral,1.692,0.868,0.509,0.913,0.104,0.898,1,1
affinity,0.129,0.071,0.745,0.734,0.969,0.957,1,1
affinity,0.135,0.078,0.731,0.824,0.959,0.959,1,1
affinity,0.141,0.074,0.686,0.789,0.962,0.961,1,1
affinity,0.141,0.078,0.717,0.771,0.962,0.957,1,1
affinity,0.149,0.088,0.708,0.853,0.95,0.958,1,1
affinity,1.81,0.915,0.706,0.846,0.048,0.9,1,1
KMeans,0.104,0.055,0.795,0.884,0.968,0.974,1,2
KMeans,0.116,0.064,0.791,0.834,0.963,0.97,1,2
KMeans,0.099,0.055,0.83,0.863,0.969,0.973,1,2
KMeans,0.17,0.096,0.651,0.941,0.927,0.973,1,2
KMeans,0.154,0.086,0.635,0.908,0.937,0.973,1,2
KMeans,1.799,0.911,0.658,0.929,0.063,0.912,1,2
specteral,0.106,0.053,0.769,0.769,0.973,0.972,1,2
specteral,0.111,0.061,0.769,0.852,0.966,0.971,1,2
specteral,0.106,0.058,0.798,0.841,0.969,0.971,1,2
specteral,0.175,0.098,0.549,0.934,0.923,0.974,1,2
specteral,0.191,0.106,0.595,0.945,0.912,0.976,1,2
specteral,1.733,0.893,0.537,0.945,0.09,0.871,1,2
affinity,0.095,0.053,0.876,0.837,0.976,0.97,1,2
affinity,0.092,0.055,0.842,0.885,0.971,0.972,1,2
affinity,0.104,0.059,0.727,0.915,0.966,0.973,1,2
affinity,0.113,0.064,0.815,0.884,0.966,0.968,1,2
affinity,0.113,0.064,0.737,0.891,0.961,0.973,1,2
affinity,1.842,0.937,0.698,0.919,0.039,0.821,1,2
KMeans,0.146,0.079,0.664,0.824,0.952,0.966,1,3
KMeans,0.111,0.059,0.78,0.819,0.969,0.97,1,3
KMeans,0.14,0.075,0.694,0.821,0.956,0.965,1,3
KMeans,0.231,0.123,0.494,0.946,0.898,0.973,1,3
KMeans,0.182,0.1,0.545,0.909,0.922,0.973,1,3
KMeans,1.747,0.878,0.532,0.931,0.094,0.976,1,3
specteral,0.12,0.066,0.735,0.882,0.962,0.969,1,3
specteral,0.115,0.062,0.752,0.885,0.964,0.971,1,3
specteral,0.133,0.078,0.692,0.911,0.954,0.965,1,3
specteral,0.257,0.143,0.487,0.962,0.881,0.969,1,3
specteral,0.231,0.132,0.481,0.959,0.892,0.969,1,3
specteral,1.714,0.878,0.48,0.957,0.103,0.9,1,3
affinity,0.104,0.059,0.742,0.862,0.969,0.97,1,3
affinity,0.111,0.065,0.746,0.884,0.963,0.969,1,3
affinity,0.115,0.068,0.717,0.924,0.958,0.972,1,3
affinity,0.133,0.072,0.712,0.877,0.959,0.967,1,3
affinity,0.126,0.072,0.667,0.924,0.953,0.972,1,3
affinity,1.829,0.929,0.681,0.936,0.047,0.854,1,3
KMeans,0.107,0.061,0.81,0.799,0.969,0.969,1,4
KMeans,0.117,0.064,0.788,0.818,0.966,0.967,1,4
KMeans,0.097,0.056,0.835,0.777,0.972,0.97,1,4
KMeans,0.197,0.108,0.634,0.941,0.92,0.967,1,4
KMeans,0.184,0.097,0.605,0.904,0.926,0.972,1,4
KMeans,1.772,0.905,0.648,0.914,0.072,0.877,1,4
specteral,0.1,0.055,0.813,0.817,0.974,0.97,1,4
specteral,0.117,0.059,0.742,0.775,0.97,0.969,1,4
specteral,0.126,0.069,0.775,0.832,0.964,0.965,1,4
specteral,0.211,0.119,0.566,0.948,0.903,0.972,1,4
specteral,0.206,0.118,0.558,0.954,0.905,0.972,1,4
specteral,1.731,0.887,0.564,0.937,0.092,0.89,1,4
affinity,0.092,0.051,0.863,0.779,0.977,0.97,1,4
affinity,0.119,0.065,0.806,0.84,0.965,0.967,1,4
affinity,0.104,0.062,0.783,0.842,0.966,0.97,1,4
affinity,0.097,0.056,0.823,0.851,0.972,0.97,1,4
affinity,0.129,0.068,0.739,0.868,0.959,0.971,1,4
affinity,1.83,0.927,0.754,0.89,0.045,0.878,1,4
KMeans,0.115,0.059,0.684,0.822,0.962,0.976,1,5
KMeans,0.102,0.057,0.699,0.867,0.966,0.975,1,5
KMeans,0.097,0.054,0.733,0.848,0.969,0.976,1,5
KMeans,0.166,0.091,0.49,0.922,0.928,0.978,1,5
KMeans,0.16,0.086,0.509,0.878,0.93,0.98,1,5
KMeans,1.816,0.913,0.57,0.905,0.067,0.968,1,5
specteral,0.084,0.046,0.741,0.918,0.972,0.98,1,5
specteral,0.093,0.048,0.742,0.851,0.972,0.979,1,5
specteral,0.089,0.049,0.739,0.913,0.97,0.98,1,5
specteral,0.166,0.093,0.577,0.963,0.924,0.98,1,5
specteral,0.169,0.094,0.523,0.975,0.919,0.983,1,5
specteral,1.762,0.89,0.516,0.974,0.093,0.955,1,5
affinity,0.091,0.049,0.788,0.795,0.975,0.976,1,5
