,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.145,0.08,0.721,0.821,0.956,0.96,1,1
KMeans,0.141,0.073,0.756,0.819,0.961,0.963,1,1
KMeans,0.153,0.082,0.716,0.741,0.956,0.958,1,1
KMeans,0.129,0.07,0.844,0.83,0.967,0.96,1,1
specteral,0.147,0.08,0.706,0.783,0.958,0.958,1,1
specteral,0.149,0.083,0.744,0.782,0.957,0.956,1,1
specteral,0.147,0.08,0.832,0.455,0.961,0.956,1,1
specteral,0.161,0.089,0.776,0.62,0.945,0.962,1,1
affinity,0.121,0.066,0.771,0.791,0.969,0.962,1,1
affinity,0.125,0.072,0.747,0.824,0.963,0.962,1,1
affinity,0.161,0.085,0.757,0.667,0.955,0.956,1,1
affinity,0.157,0.084,0.764,0.753,0.953,0.959,1,1
KMeans,0.125,0.066,0.77,0.811,0.962,0.969,1,2
KMeans,0.083,0.051,0.798,0.891,0.971,0.977,1,2
KMeans,0.121,0.064,0.793,0.765,0.965,0.969,1,2
KMeans,0.113,0.065,0.797,0.751,0.967,0.966,1,2
specteral,0.121,0.07,0.815,0.869,0.961,0.967,1,2
specteral,0.125,0.066,0.789,0.851,0.961,0.97,1,2
specteral,0.123,0.067,0.825,0.518,0.962,0.968,1,2
specteral,0.121,0.065,0.826,0.586,0.963,0.969,1,2
affinity,0.08,0.045,0.851,0.87,0.978,0.976,1,2
affinity,0.102,0.058,0.772,0.872,0.969,0.971,1,2
affinity,0.121,0.067,0.806,0.66,0.961,0.969,1,2
affinity,0.125,0.071,0.787,0.8,0.957,0.969,1,2
KMeans,0.133,0.078,0.687,0.866,0.951,0.968,1,3
KMeans,0.14,0.081,0.709,0.916,0.95,0.966,1,3
KMeans,0.118,0.063,0.8,0.728,0.967,0.968,1,3
KMeans,0.109,0.06,0.761,0.802,0.967,0.971,1,3
specteral,0.122,0.066,0.704,0.903,0.96,0.971,1,3
specteral,0.131,0.074,0.707,0.876,0.953,0.97,1,3
specteral,0.118,0.063,0.858,0.322,0.968,0.967,1,3
specteral,0.184,0.096,0.683,0.725,0.934,0.966,1,3
affinity,0.1,0.059,0.801,0.876,0.969,0.97,1,3
affinity,0.118,0.069,0.718,0.906,0.96,0.969,1,3
affinity,0.146,0.074,0.722,0.627,0.955,0.968,1,3
affinity,0.142,0.079,0.713,0.67,0.952,0.966,1,3
KMeans,0.117,0.068,0.753,0.904,0.959,0.971,1,4
KMeans,0.1,0.055,0.835,0.874,0.97,0.974,1,4
KMeans,0.104,0.056,0.788,0.713,0.971,0.971,1,4
KMeans,0.1,0.057,0.81,0.795,0.969,0.972,1,4
specteral,0.119,0.063,0.698,0.857,0.962,0.972,1,4
specteral,0.109,0.057,0.792,0.847,0.969,0.972,1,4
specteral,0.126,0.065,0.813,0.469,0.964,0.968,1,4
specteral,0.148,0.079,0.735,0.622,0.951,0.967,1,4
affinity,0.109,0.064,0.779,0.782,0.969,0.965,1,4
affinity,0.107,0.063,0.825,0.869,0.966,0.969,1,4
affinity,0.119,0.063,0.792,0.664,0.962,0.972,1,4
affinity,0.146,0.078,0.738,0.736,0.952,0.967,1,4
KMeans,0.099,0.057,0.683,0.891,0.963,0.978,1,5
KMeans,0.093,0.054,0.687,0.86,0.967,0.978,1,5
KMeans,0.108,0.057,0.72,0.798,0.965,0.976,1,5
KMeans,0.115,0.058,0.639,0.861,0.962,0.978,1,5
specteral,0.082,0.049,0.699,0.927,0.968,0.982,1,5
specteral,0.106,0.056,0.66,0.868,0.961,0.981,1,5
specteral,0.11,0.056,0.774,0.424,0.963,0.979,1,5
specteral,0.156,0.081,0.651,0.724,0.939,0.977,1,5
affinity,0.093,0.051,0.694,0.865,0.97,0.978,1,5
affinity,0.086,0.046,0.701,0.914,0.97,0.982,1,5
affinity,0.112,0.057,0.697,0.664,0.963,0.978,1,5
affinity,0.132,0.072,0.603,0.816,0.947,0.978,1,5
KMeans,0.084,0.048,0.588,0.933,0.966,0.985,1,6
KMeans,0.082,0.042,0.587,0.934,0.966,0.99,1,6
KMeans,0.108,0.059,0.553,0.857,0.956,0.984,1,6
KMeans,0.095,0.051,0.59,0.897,0.965,0.983,1,6
specteral,0.099,0.051,0.565,0.944,0.962,0.986,1,6
specteral,0.093,0.048,0.557,0.933,0.964,0.988,1,6
specteral,0.115,0.061,0.612,0.657,0.953,0.984,1,6
specteral,0.137,0.072,0.653,0.613,0.943,0.983,1,6
affinity,0.073,0.038,0.646,0.892,0.975,0.987,1,6
affinity,0.081,0.044,0.582,0.962,0.966,0.989,1,6
affinity,0.101,0.051,0.562,0.787,0.962,0.986,1,6
affinity,0.119,0.063,0.593,0.846,0.95,0.985,1,6
KMeans,0.084,0.05,0.705,0.903,0.968,0.98,1,7
KMeans,0.097,0.054,0.713,0.906,0.967,0.977,1,7
KMeans,0.099,0.052,0.732,0.851,0.967,0.979,1,7
KMeans,0.097,0.052,0.702,0.815,0.965,0.981,1,7
specteral,0.128,0.067,0.591,0.884,0.955,0.976,1,7
specteral,0.097,0.052,0.692,0.91,0.964,0.982,1,7
specteral,0.105,0.053,0.774,0.493,0.965,0.98,1,7
specteral,0.111,0.059,0.697,0.718,0.958,0.982,1,7
affinity,0.086,0.047,0.75,0.912,0.973,0.979,1,7
affinity,0.091,0.049,0.706,0.916,0.969,0.98,1,7
affinity,0.115,0.064,0.679,0.814,0.958,0.976,1,7
affinity,0.115,0.063,0.644,0.74,0.958,0.977,1,7
KMeans,0.123,0.066,0.721,0.927,0.96,0.972,1,8
KMeans,0.096,0.052,0.743,0.918,0.972,0.974,1,8
KMeans,0.113,0.061,0.684,0.845,0.966,0.972,1,8
KMeans,0.106,0.056,0.735,0.888,0.971,0.971,1,8
specteral,0.108,0.059,0.729,0.897,0.967,0.973,1,8
specteral,0.109,0.061,0.712,0.911,0.965,0.972,1,8
specteral,0.128,0.07,0.798,0.588,0.955,0.972,1,8
specteral,0.14,0.076,0.692,0.782,0.948,0.973,1,8
affinity,0.079,0.044,0.738,0.913,0.977,0.977,1,8
affinity,0.089,0.05,0.715,0.923,0.971,0.977,1,8
affinity,0.121,0.067,0.76,0.771,0.959,0.972,1,8
affinity,0.118,0.066,0.711,0.889,0.96,0.972,1,8
KMeans,0.104,0.062,0.643,0.938,0.955,0.981,1,9
KMeans,0.087,0.048,0.664,0.931,0.968,0.982,1,9
KMeans,0.094,0.052,0.685,0.863,0.967,0.98,1,9
KMeans,0.085,0.045,0.7,0.901,0.969,0.984,1,9
specteral,0.117,0.068,0.553,0.901,0.951,0.979,1,9
specteral,0.11,0.062,0.583,0.93,0.955,0.981,1,9
specteral,0.108,0.057,0.841,0.529,0.964,0.977,1,9
specteral,0.136,0.076,0.767,0.847,0.941,0.98,1,9
affinity,0.085,0.047,0.659,0.899,0.971,0.981,1,9
affinity,0.101,0.055,0.622,0.931,0.964,0.98,1,9
affinity,0.11,0.06,0.728,0.811,0.959,0.98,1,9
affinity,0.117,0.064,0.662,0.861,0.954,0.979,1,9
KMeans,0.133,0.069,0.746,0.886,0.959,0.969,1,10
KMeans,0.115,0.065,0.739,0.877,0.965,0.968,1,10
KMeans,0.127,0.069,0.839,0.739,0.965,0.963,1,10
KMeans,0.115,0.069,0.823,0.854,0.963,0.965,1,10
specteral,0.145,0.081,0.694,0.846,0.955,0.96,1,10
specteral,0.136,0.072,0.736,0.882,0.954,0.97,1,10
specteral,0.142,0.077,0.832,0.499,0.957,0.963,1,10
specteral,0.16,0.089,0.78,0.647,0.943,0.964,1,10
affinity,0.127,0.066,0.815,0.839,0.968,0.963,1,10
affinity,0.118,0.069,0.833,0.869,0.965,0.963,1,10
affinity,0.142,0.081,0.783,0.612,0.954,0.961,1,10
affinity,0.151,0.078,0.764,0.644,0.955,0.963,1,10
KMeans,0.101,0.063,0.739,0.959,0.96,0.976,2,1
KMeans,0.086,0.047,0.748,0.916,0.973,0.978,2,1
KMeans,0.089,0.049,0.77,0.722,0.972,0.977,2,1
KMeans,0.108,0.059,0.737,0.831,0.963,0.976,2,1
specteral,0.089,0.057,0.74,0.94,0.963,0.978,2,1
specteral,0.108,0.059,0.699,0.899,0.96,0.979,2,1
specteral,0.108,0.055,0.86,0.41,0.967,0.976,2,1
specteral,0.133,0.07,0.807,0.583,0.953,0.974,2,1
affinity,0.081,0.042,0.774,0.851,0.977,0.98,2,1
affinity,0.099,0.055,0.728,0.903,0.967,0.976,2,1
