,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.137,0.074,0.831,0.809,0.966,0.957,1,1
KMeans,0.129,0.069,0.816,0.724,0.971,0.957,1,1
KMeans,0.147,0.083,0.764,0.8,0.957,0.956,1,1
KMeans,0.125,0.069,0.804,0.835,0.966,0.962,1,1
specteral,0.11,0.061,0.828,0.778,0.974,0.962,1,1
specteral,0.125,0.063,0.791,0.705,0.975,0.959,1,1
specteral,0.141,0.073,0.826,0.519,0.964,0.96,1,1
specteral,0.165,0.09,0.776,0.621,0.948,0.958,1,1
affinity,0.121,0.064,0.756,0.78,0.971,0.962,1,1
affinity,0.147,0.08,0.721,0.818,0.959,0.957,1,1
affinity,0.141,0.074,0.816,0.556,0.967,0.956,1,1
affinity,0.131,0.069,0.836,0.606,0.97,0.958,1,1
KMeans,0.106,0.057,0.81,0.838,0.971,0.971,1,2
KMeans,0.078,0.045,0.906,0.805,0.982,0.972,1,2
KMeans,0.123,0.067,0.778,0.823,0.961,0.969,1,2
KMeans,0.106,0.058,0.817,0.779,0.968,0.972,1,2
specteral,0.097,0.053,0.835,0.826,0.974,0.971,1,2
specteral,0.078,0.046,0.878,0.868,0.978,0.974,1,2
specteral,0.111,0.06,0.844,0.477,0.969,0.968,1,2
specteral,0.121,0.065,0.79,0.599,0.963,0.969,1,2
affinity,0.078,0.044,0.871,0.867,0.979,0.976,1,2
affinity,0.109,0.061,0.797,0.9,0.966,0.971,1,2
affinity,0.104,0.058,0.857,0.628,0.972,0.968,1,2
affinity,0.104,0.057,0.845,0.766,0.971,0.971,1,2
KMeans,0.109,0.061,0.785,0.834,0.967,0.97,1,3
KMeans,0.1,0.059,0.793,0.796,0.97,0.969,1,3
KMeans,0.106,0.059,0.714,0.805,0.968,0.971,1,3
KMeans,0.115,0.063,0.741,0.791,0.966,0.969,1,3
specteral,0.111,0.066,0.762,0.853,0.964,0.967,1,3
specteral,0.106,0.062,0.746,0.868,0.967,0.969,1,3
specteral,0.126,0.065,0.816,0.431,0.964,0.968,1,3
specteral,0.142,0.075,0.746,0.609,0.953,0.969,1,3
affinity,0.106,0.061,0.81,0.872,0.968,0.969,1,3
affinity,0.111,0.065,0.751,0.857,0.963,0.969,1,3
affinity,0.111,0.059,0.78,0.637,0.968,0.971,1,3
affinity,0.118,0.063,0.793,0.648,0.967,0.968,1,3
KMeans,0.09,0.052,0.853,0.81,0.975,0.971,1,4
KMeans,0.1,0.052,0.852,0.772,0.976,0.97,1,4
KMeans,0.112,0.063,0.756,0.76,0.965,0.97,1,4
KMeans,0.114,0.059,0.758,0.785,0.966,0.972,1,4
specteral,0.087,0.051,0.845,0.735,0.977,0.97,1,4
specteral,0.102,0.058,0.833,0.832,0.971,0.969,1,4
specteral,0.119,0.061,0.841,0.364,0.97,0.967,1,4
specteral,0.143,0.074,0.73,0.625,0.955,0.968,1,4
affinity,0.107,0.062,0.784,0.787,0.97,0.966,1,4
affinity,0.104,0.059,0.766,0.851,0.967,0.971,1,4
affinity,0.114,0.063,0.799,0.573,0.967,0.967,1,4
affinity,0.129,0.069,0.759,0.695,0.962,0.966,1,4
KMeans,0.089,0.045,0.756,0.815,0.975,0.979,1,5
KMeans,0.069,0.039,0.798,0.823,0.979,0.981,1,5
KMeans,0.099,0.053,0.727,0.786,0.968,0.978,1,5
