,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.662,0.024,0.753,0.874,0.251,0.279,1,4
KMeans,0.087,0.048,0.973,0.977,0.974,0.978,1,4
specteral,0.94,0.074,0.723,0.89,0.156,0.167,1,4
specteral,0.091,0.049,0.97,0.977,0.971,0.979,1,4
affinity,0.971,0.076,0.65,0.911,0.054,0.058,1,4
affinity,0.093,0.05,0.967,0.977,0.969,0.98,1,4
KMeans,0.217,0.024,0.592,0.869,0.078,0.095,2,4
KMeans,0.066,0.034,0.977,0.985,0.979,0.987,2,4
specteral,0.755,0.088,0.591,0.888,0.169,0.196,2,4
specteral,0.061,0.032,0.977,0.985,0.979,0.988,2,4
affinity,0.584,0.065,0.529,0.876,0.095,0.119,2,4
affinity,0.072,0.038,0.971,0.985,0.974,0.988,2,4
KMeans,4.811,0.084,0.723,0.907,0.063,0.075,3,4
KMeans,0.051,0.028,0.976,0.983,0.982,0.989,3,4
specteral,0.407,0.015,0.671,0.911,0.074,0.089,3,4
specteral,0.075,0.041,0.973,0.983,0.974,0.984,3,4
affinity,4.906,0.084,0.641,0.857,0.043,0.051,3,4
affinity,0.071,0.038,0.972,0.983,0.975,0.986,3,4
KMeans,0.421,0.06,0.821,0.888,0.048,0.073,4,4
KMeans,0.091,0.049,0.97,0.972,0.974,0.976,4,4
specteral,0.234,0.033,0.811,0.814,0.215,0.176,4,4
specteral,0.082,0.046,0.975,0.972,0.977,0.975,4,4
affinity,0.242,0.034,0.848,0.8,0.251,0.24,4,4
affinity,0.086,0.046,0.977,0.972,0.978,0.974,4,4
KMeans,0.116,0.012,0.798,0.766,0.174,0.144,5,4
KMeans,0.112,0.057,0.971,0.964,0.974,0.967,5,4
specteral,0.309,0.031,0.818,0.738,0.112,0.089,5,4
specteral,0.102,0.052,0.976,0.964,0.979,0.967,5,4
affinity,0.219,0.022,0.775,0.761,0.106,0.092,5,4
affinity,0.117,0.061,0.972,0.964,0.972,0.965,5,4
KMeans,0.343,0.002,0.703,0.888,0.098,0.105,6,4
KMeans,0.072,0.039,0.972,0.981,0.976,0.984,6,4
specteral,0.305,0.041,0.727,0.863,0.091,0.095,6,4
specteral,0.069,0.035,0.976,0.981,0.979,0.985,6,4
affinity,2.08,0.041,0.686,0.904,0.097,0.093,6,4
affinity,0.077,0.04,0.971,0.981,0.974,0.984,6,4
