,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.402,0.019,0.832,0.782,0.042,0.026,1,1
KMeans,0.127,0.07,0.965,0.956,0.968,0.959,1,1
KMeans,0.457,0.373,0.965,0.956,0.093,0.118,1,1
KMeans,0.448,0.027,0.826,0.746,0.023,0.008,1,1
KMeans,0.123,0.069,0.968,0.956,0.97,0.958,1,1
KMeans,0.469,0.379,0.968,0.956,0.07,0.097,1,1
KMeans,1.285,0.054,0.802,0.785,0.023,0.005,1,1
KMeans,0.129,0.07,0.967,0.956,0.969,0.958,1,1
KMeans,0.453,0.355,0.967,0.956,0.07,0.094,1,1
specteral,6.437,0.114,0.734,0.717,0.023,0.005,1,1
specteral,0.125,0.068,0.967,0.956,0.97,0.959,1,1
specteral,0.527,0.428,0.967,0.956,0.093,0.125,1,1
specteral,0.774,0.028,0.765,0.812,0.028,0.026,1,1
specteral,0.131,0.07,0.961,0.956,0.966,0.961,1,1
specteral,0.443,0.351,0.961,0.956,0.14,0.158,1,1
specteral,2.502,0.072,0.77,0.765,0.023,0.005,1,1
specteral,0.127,0.07,0.967,0.956,0.969,0.958,1,1
specteral,0.454,0.365,0.967,0.956,0.07,0.094,1,1
affinity,0.683,0.036,0.756,0.78,0.023,0.007,1,1
affinity,0.121,0.064,0.965,0.956,0.971,0.962,1,1
affinity,0.476,0.389,0.965,0.956,0.163,0.206,1,1
affinity,0.431,0.026,0.772,0.826,0.023,0.009,1,1
affinity,0.129,0.071,0.96,0.956,0.965,0.961,1,1
affinity,0.453,0.365,0.96,0.956,0.14,0.154,1,1
affinity,0.427,0.018,0.749,0.82,0.036,0.034,1,1
affinity,0.127,0.071,0.96,0.956,0.965,0.961,1,1
affinity,0.472,0.38,0.96,0.956,0.14,0.154,1,1
KMeans,0.532,0.021,0.841,0.809,0.171,0.146,2,1
KMeans,0.09,0.048,0.97,0.967,0.977,0.973,2,1
KMeans,0.353,0.262,0.97,0.967,0.214,0.24,2,1
KMeans,0.988,0.06,0.872,0.842,0.034,0.02,2,1
KMeans,0.09,0.051,0.973,0.967,0.977,0.971,2,1
KMeans,0.32,0.247,0.973,0.967,0.143,0.174,2,1
KMeans,1.001,0.056,0.877,0.857,0.036,0.022,2,1
KMeans,0.073,0.043,0.972,0.967,0.98,0.976,2,1
KMeans,0.3,0.223,0.972,0.967,0.286,0.333,2,1
specteral,0.458,0.034,0.871,0.817,0.16,0.166,2,1
specteral,0.087,0.048,0.97,0.967,0.977,0.973,2,1
specteral,0.356,0.268,0.97,0.967,0.214,0.24,2,1
specteral,0.033,0.001,0.848,0.78,0.431,0.402,2,1
specteral,0.102,0.053,0.97,0.967,0.974,0.971,2,1
specteral,0.356,0.277,0.97,0.967,0.143,0.16,2,1
specteral,0.066,0.002,0.844,0.817,0.249,0.237,2,1
specteral,0.099,0.055,0.97,0.967,0.973,0.97,2,1
specteral,0.43,0.342,0.97,0.967,0.107,0.12,2,1
affinity,0.987,0.066,0.871,0.867,0.034,0.018,2,1
affinity,0.078,0.044,0.97,0.967,0.979,0.976,2,1
affinity,0.305,0.232,0.97,0.967,0.286,0.32,2,1
affinity,0.523,0.018,0.816,0.877,0.301,0.315,2,1
affinity,0.09,0.052,0.965,0.967,0.972,0.974,2,1
affinity,0.373,0.283,0.965,0.967,0.25,0.233,2,1
affinity,0.424,0.015,0.808,0.872,0.128,0.168,2,1
affinity,0.109,0.064,0.965,0.967,0.966,0.968,2,1
affinity,0.389,0.293,0.965,0.967,0.071,0.067,2,1
KMeans,0.07,0.002,0.776,0.86,0.101,0.116,3,1
KMeans,0.115,0.066,0.962,0.967,0.963,0.968,3,1
KMeans,0.394,0.283,0.962,0.967,0.067,0.059,3,1
KMeans,0.926,0.054,0.766,0.793,0.037,0.051,3,1
KMeans,0.12,0.066,0.965,0.967,0.964,0.967,3,1
KMeans,0.428,0.33,0.965,0.967,0.033,0.031,3,1
KMeans,0.227,0.015,0.815,0.836,0.422,0.402,3,1
KMeans,0.102,0.058,0.969,0.967,0.971,0.969,3,1
KMeans,0.372,0.287,0.969,0.967,0.1,0.107,3,1
specteral,0.191,0.009,0.839,0.866,0.136,0.129,3,1
specteral,0.102,0.059,0.968,0.967,0.97,0.969,3,1
specteral,0.354,0.263,0.968,0.967,0.1,0.103,3,1
specteral,0.942,0.047,0.836,0.849,0.166,0.164,3,1
specteral,0.093,0.05,0.968,0.967,0.975,0.974,3,1
specteral,0.351,0.272,0.968,0.967,0.233,0.241,3,1
specteral,0.142,0.005,0.808,0.887,0.338,0.348,3,1
specteral,0.093,0.053,0.967,0.967,0.973,0.973,3,1
specteral,0.315,0.24,0.967,0.967,0.2,0.2,3,1
affinity,0.94,0.048,0.81,0.872,0.289,0.282,3,1
affinity,0.106,0.061,0.966,0.967,0.968,0.969,3,1
affinity,0.383,0.313,0.966,0.967,0.1,0.097,3,1
affinity,0.155,0.0,0.76,0.872,0.097,0.11,3,1
affinity,0.104,0.064,0.962,0.967,0.964,0.969,3,1
affinity,0.378,0.295,0.962,0.967,0.1,0.088,3,1
affinity,0.155,0.0,0.754,0.905,0.096,0.11,3,1
affinity,0.098,0.062,0.962,0.967,0.966,0.97,3,1
affinity,0.394,0.323,0.962,0.967,0.133,0.118,3,1
KMeans,0.956,0.025,0.859,0.832,0.545,0.533,4,1
KMeans,0.075,0.04,0.966,0.965,0.98,0.979,4,1
KMeans,0.224,0.176,0.966,0.965,0.414,0.429,4,1
KMeans,1.394,0.07,0.873,0.776,0.033,0.017,4,1
KMeans,0.078,0.046,0.975,0.965,0.981,0.971,4,1
KMeans,0.354,0.298,0.975,0.965,0.207,0.286,4,1
KMeans,0.741,0.024,0.867,0.816,0.248,0.232,4,1
KMeans,0.08,0.048,0.97,0.965,0.977,0.972,4,1
KMeans,0.265,0.229,0.97,0.965,0.241,0.28,4,1
specteral,1.036,0.07,0.784,0.806,0.175,0.185,4,1
specteral,0.117,0.063,0.965,0.965,0.967,0.967,4,1
specteral,0.43,0.384,0.965,0.965,0.103,0.103,4,1
specteral,0.337,0.019,0.825,0.845,0.301,0.297,4,1
specteral,0.097,0.055,0.966,0.965,0.972,0.971,4,1
specteral,0.33,0.286,0.966,0.965,0.207,0.214,4,1
specteral,1.114,0.09,0.846,0.827,0.033,0.013,4,1
specteral,0.083,0.046,0.97,0.965,0.979,0.974,4,1
specteral,0.337,0.287,0.97,0.965,0.276,0.32,4,1
affinity,0.795,0.038,0.784,0.787,0.033,0.021,4,1
affinity,0.107,0.062,0.968,0.965,0.97,0.966,4,1
affinity,0.441,0.394,0.968,0.965,0.069,0.077,4,1
affinity,0.321,0.01,0.859,0.927,0.345,0.357,4,1
affinity,0.083,0.053,0.962,0.965,0.971,0.974,4,1
affinity,0.202,0.153,0.962,0.965,0.276,0.258,4,1
affinity,0.158,0.006,0.785,0.772,0.209,0.218,4,1
affinity,0.117,0.068,0.965,0.965,0.965,0.965,4,1
affinity,0.388,0.337,0.965,0.965,0.034,0.034,4,1
KMeans,1.066,0.03,0.718,0.805,0.13,0.176,5,1
KMeans,0.082,0.045,0.97,0.976,0.973,0.98,5,1
KMeans,0.51,0.362,0.97,0.976,0.182,0.143,5,1
KMeans,3.622,0.064,0.783,0.9,0.488,0.495,5,1
KMeans,0.082,0.044,0.973,0.976,0.976,0.979,5,1
KMeans,0.355,0.259,0.973,0.976,0.136,0.12,5,1
KMeans,1.22,0.03,0.795,0.802,0.383,0.399,5,1
KMeans,0.063,0.038,0.973,0.976,0.979,0.982,5,1
KMeans,0.4,0.284,0.973,0.976,0.273,0.24,5,1
specteral,3.429,0.064,0.784,0.816,0.264,0.285,5,1
specteral,0.074,0.042,0.973,0.976,0.977,0.98,5,1
specteral,0.424,0.292,0.973,0.976,0.182,0.16,5,1
specteral,1.119,0.03,0.755,0.868,0.119,0.145,5,1
specteral,0.08,0.046,0.971,0.976,0.973,0.979,5,1
specteral,0.391,0.266,0.971,0.976,0.136,0.111,5,1
specteral,0.798,0.017,0.819,0.897,0.169,0.193,5,1
specteral,0.08,0.044,0.971,0.976,0.975,0.98,5,1
specteral,0.369,0.222,0.971,0.976,0.182,0.148,5,1
affinity,1.17,0.03,0.699,0.844,0.147,0.193,5,1
affinity,0.089,0.046,0.971,0.976,0.973,0.979,5,1
affinity,0.51,0.383,0.971,0.976,0.136,0.111,5,1
affinity,0.26,0.001,0.737,0.904,0.079,0.087,5,1
affinity,0.089,0.049,0.969,0.976,0.971,0.979,5,1
affinity,0.406,0.311,0.969,0.976,0.136,0.103,5,1
affinity,0.236,0.034,0.65,0.918,0.003,0.027,5,1
affinity,0.084,0.049,0.96,0.976,0.967,0.983,5,1
affinity,0.534,0.361,0.96,0.976,0.318,0.189,5,1
KMeans,0.083,0.009,0.678,0.912,0.125,0.13,6,1
KMeans,0.077,0.044,0.972,0.983,0.972,0.983,6,1
KMeans,0.437,0.31,0.972,0.983,0.053,0.032,6,1
KMeans,0.307,0.034,0.622,0.899,0.072,0.105,6,1
KMeans,0.073,0.04,0.972,0.983,0.974,0.985,6,1
KMeans,0.485,0.344,0.972,0.983,0.158,0.097,6,1
KMeans,0.689,0.089,0.644,0.862,0.043,0.044,6,1
KMeans,0.077,0.04,0.973,0.983,0.975,0.984,6,1
KMeans,0.559,0.388,0.973,0.983,0.105,0.069,6,1
specteral,0.125,0.014,0.662,0.886,0.184,0.193,6,1
specteral,0.075,0.041,0.974,0.983,0.975,0.983,6,1
specteral,0.515,0.388,0.974,0.983,0.053,0.036,6,1
specteral,0.174,0.019,0.658,0.865,0.264,0.266,6,1
specteral,0.077,0.042,0.972,0.983,0.973,0.984,6,1
specteral,0.563,0.368,0.972,0.983,0.105,0.065,6,1
specteral,0.249,0.028,0.705,0.864,0.286,0.286,6,1
specteral,0.07,0.037,0.975,0.983,0.978,0.985,6,1
specteral,0.459,0.295,0.975,0.983,0.158,0.111,6,1
affinity,0.199,0.022,0.641,0.905,0.147,0.18,6,1
affinity,0.073,0.038,0.97,0.983,0.974,0.987,6,1
affinity,0.557,0.331,0.97,0.983,0.263,0.152,6,1
affinity,0.683,0.076,0.575,0.955,0.004,0.026,6,1
affinity,0.081,0.046,0.962,0.983,0.966,0.987,6,1
affinity,0.663,0.419,0.962,0.983,0.263,0.122,6,1
affinity,0.174,0.019,0.575,0.947,0.046,0.054,6,1
affinity,0.081,0.046,0.964,0.983,0.967,0.986,6,1
affinity,0.673,0.445,0.964,0.983,0.211,0.103,6,1
KMeans,0.052,0.005,0.812,0.912,0.401,0.422,7,1
KMeans,0.08,0.05,0.973,0.976,0.973,0.976,7,1
KMeans,0.322,0.221,0.973,0.976,0.0,0.0,7,1
KMeans,0.817,0.093,0.819,0.785,0.15,0.133,7,1
KMeans,0.078,0.045,0.978,0.976,0.978,0.976,7,1
KMeans,0.382,0.301,0.978,0.976,0.0,0.0,7,1
KMeans,0.322,0.032,0.859,0.877,0.341,0.307,7,1
KMeans,0.07,0.041,0.978,0.976,0.98,0.978,7,1
KMeans,0.33,0.242,0.978,0.976,0.087,0.095,7,1
specteral,0.01,0.001,0.756,0.91,0.211,0.249,7,1
specteral,0.084,0.05,0.971,0.976,0.972,0.977,7,1
specteral,0.413,0.302,0.971,0.976,0.043,0.036,7,1
specteral,0.083,0.008,0.792,0.931,0.078,0.096,7,1
specteral,0.08,0.041,0.97,0.976,0.976,0.982,7,1
specteral,0.313,0.221,0.97,0.976,0.261,0.207,7,1
specteral,0.01,0.001,0.746,0.869,0.152,0.17,7,1
specteral,0.076,0.041,0.97,0.976,0.976,0.982,7,1
specteral,0.382,0.297,0.97,0.976,0.261,0.207,7,1
affinity,0.093,0.009,0.741,0.89,0.088,0.102,7,1
affinity,0.086,0.047,0.97,0.976,0.973,0.979,7,1
affinity,0.462,0.348,0.97,0.976,0.13,0.103,7,1
affinity,0.145,0.015,0.755,0.937,0.084,0.1,7,1
affinity,0.07,0.043,0.97,0.976,0.975,0.981,7,1
affinity,0.393,0.276,0.97,0.976,0.217,0.172,7,1
affinity,0.754,0.083,0.74,0.913,0.004,0.032,7,1
affinity,0.078,0.041,0.968,0.976,0.975,0.983,7,1
affinity,0.405,0.312,0.968,0.976,0.304,0.226,7,1
KMeans,0.838,0.012,0.767,0.914,0.051,0.03,8,1
KMeans,0.089,0.051,0.971,0.971,0.974,0.974,8,1
KMeans,0.387,0.26,0.971,0.971,0.118,0.118,8,1
KMeans,3.456,0.072,0.775,0.842,0.029,0.023,8,1
KMeans,0.084,0.046,0.976,0.971,0.979,0.974,8,1
KMeans,0.446,0.293,0.976,0.971,0.118,0.143,8,1
KMeans,6.393,0.111,0.765,0.855,0.029,0.019,8,1
KMeans,0.086,0.047,0.977,0.971,0.979,0.973,8,1
KMeans,0.416,0.282,0.977,0.971,0.088,0.111,8,1
specteral,16.812,0.189,0.792,0.843,0.029,0.024,8,1
specteral,0.084,0.049,0.975,0.971,0.977,0.973,8,1
specteral,0.463,0.325,0.975,0.971,0.088,0.103,8,1
specteral,8.226,0.195,0.771,0.814,0.029,0.009,8,1
specteral,0.092,0.049,0.975,0.971,0.977,0.973,8,1
specteral,0.489,0.338,0.975,0.971,0.088,0.103,8,1
specteral,12.761,0.174,0.809,0.849,0.029,0.016,8,1
specteral,0.075,0.044,0.977,0.971,0.981,0.975,8,1
specteral,0.454,0.307,0.977,0.971,0.147,0.185,8,1
affinity,0.894,0.029,0.767,0.918,0.029,0.024,8,1
affinity,0.08,0.045,0.972,0.971,0.977,0.976,8,1
affinity,0.382,0.245,0.972,0.971,0.206,0.212,8,1
affinity,1.063,0.017,0.692,0.932,0.266,0.27,8,1
affinity,0.08,0.048,0.964,0.971,0.972,0.979,8,1
affinity,0.471,0.297,0.964,0.971,0.294,0.238,8,1
affinity,0.597,0.014,0.703,0.946,0.082,0.089,8,1
affinity,0.087,0.056,0.963,0.971,0.967,0.975,8,1
affinity,0.428,0.289,0.963,0.971,0.176,0.14,8,1
KMeans,0.154,0.013,0.693,0.911,0.207,0.238,9,1
KMeans,0.09,0.049,0.968,0.978,0.969,0.98,9,1
KMeans,0.451,0.35,0.968,0.978,0.105,0.071,9,1
KMeans,0.112,0.009,0.743,0.837,0.395,0.424,9,1
KMeans,0.083,0.044,0.976,0.978,0.976,0.979,9,1
KMeans,0.442,0.38,0.976,0.978,0.053,0.048,9,1
KMeans,0.852,0.085,0.695,0.841,0.112,0.122,9,1
KMeans,0.081,0.046,0.971,0.978,0.973,0.98,9,1
KMeans,0.484,0.383,0.971,0.978,0.105,0.08,9,1
specteral,0.894,0.081,0.711,0.849,0.179,0.187,9,1
specteral,0.076,0.045,0.972,0.978,0.974,0.98,9,1
specteral,0.442,0.341,0.972,0.978,0.105,0.083,9,1
specteral,0.335,0.028,0.672,0.843,0.24,0.269,9,1
specteral,0.081,0.043,0.97,0.978,0.974,0.982,9,1
specteral,0.453,0.38,0.97,0.978,0.211,0.154,9,1
specteral,0.363,0.03,0.697,0.892,0.205,0.219,9,1
specteral,0.083,0.047,0.968,0.978,0.971,0.981,9,1
specteral,0.484,0.34,0.968,0.978,0.158,0.107,9,1
affinity,0.098,0.008,0.659,0.868,0.113,0.14,9,1
affinity,0.092,0.051,0.969,0.978,0.969,0.979,9,1
affinity,0.498,0.397,0.969,0.978,0.053,0.037,9,1
affinity,0.377,0.031,0.668,0.939,0.051,0.064,9,1
affinity,0.081,0.048,0.964,0.978,0.968,0.982,9,1
affinity,0.458,0.355,0.964,0.978,0.211,0.129,9,1
affinity,0.363,0.03,0.623,0.931,0.042,0.055,9,1
affinity,0.097,0.052,0.961,0.978,0.965,0.982,9,1
affinity,0.51,0.38,0.961,0.978,0.211,0.118,9,1
KMeans,0.083,0.005,0.858,0.864,0.102,0.082,10,1
KMeans,0.109,0.061,0.966,0.962,0.971,0.966,10,1
KMeans,0.295,0.233,0.966,0.962,0.154,0.174,10,1
KMeans,1.355,0.093,0.936,0.817,0.037,0.02,10,1
KMeans,0.092,0.055,0.975,0.962,0.978,0.965,10,1
KMeans,0.304,0.23,0.975,0.962,0.115,0.176,10,1
KMeans,0.716,0.037,0.854,0.842,0.059,0.043,10,1
KMeans,0.118,0.064,0.969,0.962,0.971,0.963,10,1
KMeans,0.346,0.271,0.969,0.962,0.077,0.095,10,1
specteral,1.615,0.067,0.815,0.778,0.073,0.046,10,1
specteral,0.124,0.065,0.97,0.962,0.971,0.962,10,1
specteral,0.461,0.383,0.97,0.962,0.038,0.05,10,1
specteral,0.183,0.008,0.79,0.861,0.528,0.503,10,1
specteral,0.121,0.065,0.962,0.962,0.966,0.966,10,1
specteral,0.395,0.308,0.962,0.962,0.154,0.154,10,1
specteral,0.587,0.024,0.867,0.849,0.073,0.055,10,1
specteral,0.086,0.052,0.969,0.962,0.977,0.97,10,1
specteral,0.286,0.212,0.969,0.962,0.231,0.286,10,1
