,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,4.336,0.114,0.783,0.774,0.023,0.003,1,1
KMeans,0.133,0.069,0.964,0.956,0.968,0.96,1,1
KMeans,0.424,0.349,0.964,0.956,0.116,0.143,1,1
KMeans,0.241,0.027,0.809,0.783,0.023,0.006,1,1
KMeans,0.125,0.065,0.966,0.956,0.971,0.961,1,1
KMeans,0.432,0.331,0.966,0.956,0.14,0.182,1,1
KMeans,0.731,0.027,0.824,0.762,0.028,0.026,1,1
KMeans,0.129,0.07,0.967,0.956,0.969,0.958,1,1
KMeans,0.442,0.36,0.967,0.956,0.07,0.094,1,1
specteral,1.553,0.055,0.753,0.729,0.023,0.006,1,1
specteral,0.137,0.073,0.968,0.956,0.968,0.956,1,1
specteral,0.517,0.428,0.968,0.956,0.023,0.032,1,1
specteral,1.048,0.048,0.722,0.827,0.105,0.101,1,1
specteral,0.153,0.086,0.952,0.956,0.953,0.957,1,1
specteral,0.526,0.395,0.952,0.956,0.07,0.064,1,1
specteral,0.609,0.024,0.798,0.779,0.03,0.028,1,1
specteral,0.137,0.073,0.964,0.956,0.966,0.958,1,1
specteral,0.474,0.385,0.964,0.956,0.07,0.086,1,1
affinity,0.264,0.026,0.745,0.734,0.023,0.007,1,1
affinity,0.129,0.071,0.968,0.956,0.969,0.957,1,1
affinity,0.527,0.44,0.968,0.956,0.047,0.065,1,1
affinity,0.437,0.025,0.731,0.824,0.025,0.012,1,1
affinity,0.135,0.078,0.956,0.956,0.959,0.959,1,1
affinity,0.498,0.393,0.956,0.956,0.116,0.116,1,1
affinity,0.561,0.027,0.686,0.789,0.059,0.042,1,1
affinity,0.141,0.074,0.957,0.956,0.962,0.961,1,1
affinity,0.562,0.454,0.957,0.956,0.14,0.143,1,1
KMeans,0.072,0.004,0.795,0.884,0.144,0.162,2,1
KMeans,0.104,0.055,0.961,0.967,0.968,0.974,2,1
KMeans,0.392,0.259,0.961,0.967,0.25,0.212,2,1
KMeans,0.343,0.015,0.791,0.834,0.094,0.121,2,1
KMeans,0.116,0.064,0.96,0.967,0.963,0.97,2,1
KMeans,0.45,0.305,0.96,0.967,0.143,0.118,2,1
KMeans,0.072,0.004,0.83,0.863,0.115,0.142,2,1
KMeans,0.099,0.055,0.963,0.967,0.969,0.973,2,1
KMeans,0.397,0.283,0.963,0.967,0.214,0.194,2,1
specteral,0.658,0.024,0.769,0.769,0.069,0.051,2,1
specteral,0.106,0.053,0.968,0.967,0.973,0.972,2,1
specteral,0.486,0.396,0.968,0.967,0.179,0.185,2,1
specteral,0.197,0.007,0.769,0.852,0.144,0.168,2,1
specteral,0.111,0.061,0.962,0.967,0.966,0.971,2,1
specteral,0.409,0.305,0.962,0.967,0.143,0.125,2,1
specteral,0.493,0.018,0.798,0.841,0.332,0.321,2,1
specteral,0.106,0.058,0.966,0.967,0.969,0.971,2,1
specteral,0.418,0.329,0.966,0.967,0.143,0.138,2,1
affinity,1.048,0.073,0.876,0.837,0.034,0.017,2,1
affinity,0.095,0.053,0.973,0.967,0.976,0.97,2,1
affinity,0.346,0.276,0.973,0.967,0.107,0.13,2,1
affinity,0.194,0.006,0.842,0.885,0.587,0.539,2,1
affinity,0.092,0.055,0.966,0.967,0.971,0.972,2,1
affinity,0.317,0.238,0.966,0.967,0.179,0.172,2,1
