,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.249,0.077,0.563,0.894,0.044,0.063,1,1
KMeans,0.156,0.085,0.941,0.964,0.944,0.967,1,1
KMeans,0.745,0.462,0.941,0.964,0.138,0.083,1,1
KMeans,0.556,0.05,0.563,0.879,0.029,0.05,1,1
KMeans,0.153,0.086,0.947,0.964,0.946,0.963,1,1
KMeans,0.657,0.494,0.947,0.964,0.034,0.023,1,1
KMeans,0.369,0.038,0.63,0.89,0.154,0.163,1,1
KMeans,0.131,0.069,0.952,0.964,0.958,0.97,1,1
KMeans,0.553,0.374,0.952,0.964,0.207,0.154,1,1
specteral,0.36,0.062,0.657,0.865,0.129,0.164,1,1
specteral,0.138,0.075,0.953,0.964,0.955,0.966,1,1
specteral,0.639,0.423,0.953,0.964,0.103,0.079,1,1
specteral,0.307,0.067,0.641,0.786,0.12,0.124,1,1
specteral,0.136,0.074,0.959,0.964,0.959,0.964,1,1
specteral,0.717,0.529,0.959,0.964,0.034,0.03,1,1
specteral,0.551,0.05,0.625,0.832,0.066,0.074,1,1
specteral,0.136,0.075,0.953,0.964,0.955,0.966,1,1
specteral,0.691,0.488,0.953,0.964,0.103,0.079,1,1
affinity,1.827,0.006,0.702,0.843,0.144,0.137,1,1
affinity,0.104,0.06,0.965,0.964,0.969,0.968,1,1
affinity,0.499,0.33,0.965,0.964,0.138,0.143,1,1
affinity,0.425,0.05,0.667,0.864,0.089,0.107,1,1
affinity,0.104,0.059,0.962,0.964,0.968,0.97,1,1
affinity,0.57,0.385,0.962,0.964,0.207,0.194,1,1
affinity,0.456,0.049,0.664,0.825,0.11,0.125,1,1
affinity,0.119,0.065,0.963,0.964,0.965,0.967,1,1
affinity,0.642,0.463,0.963,0.964,0.103,0.1,1,1
KMeans,0.573,0.096,0.619,0.939,0.029,0.053,2,1
KMeans,0.122,0.069,0.941,0.969,0.95,0.978,2,1
KMeans,0.578,0.37,0.941,0.969,0.333,0.176,2,1
KMeans,0.294,0.049,0.679,0.894,0.051,0.065,2,1
KMeans,0.135,0.076,0.948,0.969,0.95,0.971,2,1
KMeans,0.626,0.384,0.948,0.969,0.111,0.067,2,1
KMeans,0.325,0.054,0.575,0.873,0.044,0.054,2,1
KMeans,0.149,0.081,0.943,0.969,0.945,0.971,2,1
KMeans,0.672,0.496,0.943,0.969,0.111,0.061,2,1
specteral,0.441,0.073,0.704,0.863,0.064,0.081,2,1
specteral,0.108,0.059,0.958,0.969,0.964,0.975,2,1
specteral,0.442,0.365,0.958,0.969,0.222,0.167,2,1
specteral,0.42,0.07,0.66,0.809,0.097,0.099,2,1
specteral,0.115,0.061,0.96,0.969,0.964,0.973,2,1
specteral,0.574,0.466,0.96,0.969,0.167,0.13,2,1
specteral,0.451,0.075,0.657,0.813,0.181,0.179,2,1
specteral,0.128,0.068,0.96,0.969,0.961,0.969,2,1
specteral,0.547,0.48,0.96,0.969,0.056,0.043,2,1
affinity,0.304,0.051,0.721,0.795,0.404,0.353,2,1
affinity,0.101,0.054,0.971,0.969,0.973,0.971,2,1
affinity,0.51,0.431,0.971,0.969,0.111,0.118,2,1
affinity,0.304,0.051,0.702,0.846,0.133,0.156,2,1
affinity,0.111,0.055,0.962,0.969,0.968,0.975,2,1
affinity,0.424,0.319,0.962,0.969,0.222,0.182,2,1
affinity,0.294,0.049,0.723,0.861,0.207,0.244,2,1
affinity,0.097,0.052,0.962,0.969,0.97,0.977,2,1
affinity,0.449,0.358,0.962,0.969,0.278,0.227,2,1
KMeans,0.681,0.098,0.431,0.924,0.005,0.029,3,1
KMeans,0.134,0.068,0.946,0.983,0.947,0.983,3,1
KMeans,1.315,0.579,0.946,0.983,0.091,0.029,3,1
KMeans,0.638,0.093,0.421,0.943,0.018,0.03,3,1
KMeans,0.111,0.057,0.948,0.983,0.953,0.988,3,1
KMeans,1.197,0.594,0.948,0.983,0.364,0.121,3,1
KMeans,0.536,0.059,0.432,0.897,0.037,0.047,3,1
KMeans,0.131,0.068,0.949,0.983,0.948,0.982,3,1
KMeans,1.263,0.599,0.949,0.983,0.0,0.0,3,1
specteral,0.971,0.13,0.467,0.921,0.012,0.031,3,1
specteral,0.121,0.062,0.949,0.983,0.951,0.985,3,1
specteral,1.277,0.566,0.949,0.983,0.182,0.062,3,1
specteral,0.971,0.13,0.534,0.919,0.009,0.034,3,1
specteral,0.111,0.057,0.954,0.983,0.956,0.985,3,1
specteral,1.083,0.488,0.954,0.983,0.182,0.069,3,1
specteral,0.797,0.092,0.496,0.916,0.025,0.04,3,1
specteral,0.115,0.059,0.955,0.983,0.956,0.983,3,1
specteral,1.097,0.494,0.955,0.983,0.091,0.036,3,1
affinity,0.261,0.029,0.598,0.844,0.091,0.116,3,1
affinity,0.067,0.035,0.973,0.983,0.977,0.987,3,1
affinity,0.787,0.511,0.973,0.983,0.273,0.176,3,1
affinity,1.171,0.153,0.56,0.903,0.007,0.045,3,1
affinity,0.099,0.052,0.965,0.983,0.964,0.982,3,1
affinity,0.695,0.431,0.965,0.983,0.0,0.0,3,1
affinity,1.171,0.153,0.569,0.933,0.006,0.042,3,1
affinity,0.102,0.056,0.962,0.983,0.961,0.982,3,1
affinity,0.832,0.449,0.962,0.983,0.0,0.0,3,1
