,winDiff,pk,coverage,purity,recall,precision
KMeans,0.657,0.062,0.514,0.967,0.011,0.017
KMeans,0.145,0.082,0.931,0.978,0.934,0.981
KMeans,1.143,0.414,0.931,0.978,0.211,0.067
KMeans,0.615,0.057,0.548,0.962,0.015,0.021
KMeans,0.133,0.075,0.94,0.978,0.942,0.98
KMeans,0.936,0.392,0.94,0.978,0.158,0.058
specteral,0.237,0.02,0.579,0.941,0.037,0.044
specteral,0.11,0.063,0.949,0.978,0.953,0.982
specteral,0.79,0.389,0.949,0.978,0.211,0.091
specteral,0.307,0.026,0.543,0.934,0.029,0.036
specteral,0.136,0.074,0.944,0.978,0.945,0.979
specteral,0.94,0.46,0.944,0.978,0.105,0.041
affinity,0.601,0.051,0.469,0.953,0.013,0.02
affinity,0.18,0.099,0.921,0.978,0.92,0.978
affinity,1.44,0.463,0.921,0.978,0.053,0.014
affinity,0.828,0.088,0.457,0.967,0.002,0.013
affinity,0.193,0.107,0.913,0.978,0.912,0.977
affinity,1.57,0.44,0.913,0.978,0.053,0.013
