,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.412,0.02,0.721,0.821,0.043,0.058,1,1
KMeans,0.145,0.08,0.952,0.956,0.956,0.96,1,1
KMeans,0.486,0.396,0.952,0.956,0.14,0.128,1,1
KMeans,0.461,0.019,0.756,0.819,0.06,0.081,1,1
KMeans,0.141,0.073,0.954,0.956,0.961,0.963,1,1
KMeans,0.481,0.382,0.954,0.956,0.186,0.178,1,1
specteral,0.053,0.001,0.706,0.783,0.11,0.117,1,1
specteral,0.147,0.08,0.956,0.956,0.958,0.958,1,1
specteral,0.494,0.372,0.956,0.956,0.093,0.093,1,1
specteral,0.493,0.02,0.744,0.782,0.036,0.028,1,1
specteral,0.149,0.083,0.957,0.956,0.957,0.956,1,1
specteral,0.537,0.412,0.957,0.956,0.047,0.048,1,1
affinity,0.406,0.026,0.771,0.791,0.023,0.008,1,1
affinity,0.121,0.066,0.963,0.956,0.969,0.962,1,1
affinity,0.461,0.371,0.963,0.956,0.163,0.194,1,1
affinity,0.689,0.026,0.747,0.824,0.049,0.05,1,1
affinity,0.125,0.072,0.957,0.956,0.963,0.962,1,1
affinity,0.465,0.361,0.957,0.956,0.163,0.167,1,1
KMeans,0.161,0.005,0.77,0.811,0.105,0.12,2,1
KMeans,0.125,0.066,0.96,0.967,0.962,0.969,2,1
KMeans,0.416,0.282,0.96,0.967,0.107,0.088,2,1
KMeans,1.034,0.057,0.798,0.891,0.071,0.089,2,1
KMeans,0.083,0.051,0.961,0.967,0.971,0.977,2,1
KMeans,0.325,0.262,0.961,0.967,0.321,0.273,2,1
specteral,0.066,0.002,0.815,0.869,0.238,0.266,2,1
specteral,0.121,0.07,0.961,0.967,0.961,0.967,2,1
specteral,0.406,0.306,0.961,0.967,0.036,0.03,2,1
specteral,0.1,0.005,0.789,0.851,0.068,0.082,2,1
specteral,0.125,0.066,0.957,0.967,0.961,0.97,2,1
specteral,0.441,0.297,0.957,0.967,0.143,0.111,2,1
affinity,0.965,0.056,0.851,0.87,0.041,0.025,2,1
affinity,0.08,0.045,0.969,0.967,0.978,0.976,2,1
affinity,0.322,0.251,0.969,0.967,0.286,0.308,2,1
affinity,0.424,0.015,0.772,0.872,0.091,0.095,2,1
affinity,0.102,0.058,0.966,0.967,0.969,0.971,2,1
affinity,0.373,0.301,0.966,0.967,0.143,0.138,2,1
KMeans,0.317,0.014,0.687,0.866,0.022,0.03,3,1
KMeans,0.133,0.078,0.949,0.967,0.951,0.968,3,1
KMeans,0.507,0.333,0.949,0.967,0.1,0.065,3,1
KMeans,0.0,0.0,0.709,0.916,0.069,0.089,3,1
KMeans,0.14,0.081,0.95,0.967,0.95,0.966,3,1
KMeans,0.464,0.305,0.95,0.967,0.033,0.022,3,1
specteral,0.233,0.009,0.704,0.903,0.071,0.093,3,1
specteral,0.122,0.066,0.956,0.967,0.96,0.971,3,1
specteral,0.439,0.317,0.956,0.967,0.167,0.125,3,1
specteral,0.036,0.001,0.707,0.876,0.068,0.088,3,1
specteral,0.131,0.074,0.95,0.967,0.953,0.97,3,1
specteral,0.525,0.337,0.95,0.967,0.133,0.089,3,1
affinity,0.94,0.048,0.801,0.876,0.291,0.278,3,1
affinity,0.1,0.059,0.966,0.967,0.969,0.97,3,1
affinity,0.385,0.316,0.966,0.967,0.133,0.129,3,1
affinity,0.479,0.023,0.718,0.906,0.004,0.026,3,1
affinity,0.118,0.069,0.958,0.967,0.96,0.969,3,1
affinity,0.428,0.353,0.958,0.967,0.1,0.079,3,1
KMeans,0.276,0.01,0.753,0.904,0.031,0.041,4,1
KMeans,0.117,0.068,0.953,0.965,0.959,0.971,4,1
KMeans,0.377,0.277,0.953,0.965,0.207,0.154,4,1
KMeans,0.767,0.036,0.835,0.874,0.241,0.237,4,1
KMeans,0.1,0.055,0.961,0.965,0.97,0.974,4,1
KMeans,0.333,0.248,0.961,0.965,0.276,0.25,4,1
specteral,0.137,0.004,0.698,0.857,0.091,0.101,4,1
specteral,0.119,0.063,0.955,0.965,0.962,0.972,4,1
specteral,0.436,0.358,0.955,0.965,0.241,0.189,4,1
specteral,0.775,0.019,0.792,0.847,0.264,0.284,4,1
specteral,0.109,0.057,0.961,0.965,0.969,0.972,4,1
specteral,0.377,0.3,0.961,0.965,0.241,0.219,4,1
affinity,0.795,0.038,0.779,0.782,0.033,0.021,4,1
affinity,0.109,0.064,0.968,0.965,0.969,0.965,4,1
affinity,0.436,0.392,0.968,0.965,0.034,0.038,4,1
affinity,0.198,0.008,0.825,0.869,0.144,0.17,4,1
affinity,0.107,0.063,0.962,0.965,0.966,0.969,4,1
affinity,0.324,0.249,0.962,0.965,0.138,0.129,4,1
KMeans,0.359,0.003,0.683,0.891,0.069,0.073,5,1
KMeans,0.099,0.057,0.962,0.976,0.963,0.978,5,1
KMeans,0.482,0.334,0.962,0.976,0.091,0.057,5,1
KMeans,1.152,0.026,0.687,0.86,0.08,0.099,5,1
KMeans,0.093,0.054,0.965,0.976,0.967,0.978,5,1
KMeans,0.464,0.328,0.965,0.976,0.091,0.062,5,1
specteral,0.734,0.016,0.699,0.927,0.114,0.121,5,1
specteral,0.082,0.049,0.962,0.976,0.968,0.982,5,1
specteral,0.485,0.309,0.962,0.976,0.273,0.171,5,1
specteral,0.049,0.007,0.66,0.868,0.024,0.029,5,1
specteral,0.106,0.056,0.957,0.976,0.961,0.981,5,1
specteral,0.623,0.321,0.957,0.976,0.227,0.125,5,1
affinity,1.17,0.03,0.694,0.865,0.12,0.159,5,1
affinity,0.093,0.051,0.969,0.976,0.97,0.978,5,1
affinity,0.488,0.362,0.969,0.976,0.091,0.069,5,1
affinity,0.26,0.001,0.701,0.914,0.07,0.077,5,1
affinity,0.086,0.046,0.964,0.976,0.97,0.982,5,1
affinity,0.478,0.315,0.964,0.976,0.273,0.182,5,1
KMeans,0.108,0.012,0.588,0.933,0.107,0.126,6,1
KMeans,0.084,0.048,0.964,0.983,0.966,0.985,6,1
KMeans,0.649,0.376,0.964,0.983,0.158,0.077,6,1
KMeans,0.307,0.034,0.587,0.934,0.033,0.048,6,1
KMeans,0.082,0.042,0.959,0.983,0.966,0.99,6,1
KMeans,0.837,0.394,0.959,0.983,0.474,0.2,6,1
specteral,0.224,0.025,0.565,0.944,0.036,0.043,6,1
specteral,0.099,0.051,0.959,0.983,0.962,0.986,6,1
specteral,0.807,0.44,0.959,0.983,0.211,0.089,6,1
specteral,0.257,0.029,0.557,0.933,0.034,0.042,6,1
specteral,0.093,0.048,0.959,0.983,0.964,0.988,6,1
specteral,0.78,0.401,0.959,0.983,0.316,0.133,6,1
affinity,0.183,0.02,0.646,0.892,0.153,0.188,6,1
affinity,0.073,0.038,0.971,0.983,0.975,0.987,6,1
affinity,0.548,0.334,0.971,0.983,0.263,0.156,6,1
affinity,0.642,0.082,0.582,0.962,0.003,0.023,6,1
affinity,0.081,0.044,0.961,0.983,0.966,0.989,6,1
affinity,0.675,0.409,0.961,0.983,0.368,0.163,6,1
KMeans,0.093,0.009,0.705,0.903,0.055,0.061,7,1
KMeans,0.084,0.05,0.965,0.976,0.968,0.98,7,1
KMeans,0.445,0.277,0.965,0.976,0.174,0.118,7,1
KMeans,0.135,0.013,0.713,0.906,0.055,0.059,7,1
KMeans,0.097,0.054,0.967,0.976,0.967,0.977,7,1
KMeans,0.494,0.352,0.967,0.976,0.043,0.031,7,1
specteral,0.394,0.039,0.591,0.884,0.029,0.043,7,1
specteral,0.128,0.067,0.955,0.976,0.955,0.976,7,1
specteral,0.734,0.433,0.955,0.976,0.043,0.023,7,1
specteral,0.537,0.057,0.692,0.91,0.023,0.033,7,1
specteral,0.097,0.052,0.959,0.976,0.964,0.982,7,1
specteral,0.565,0.355,0.959,0.976,0.261,0.15,7,1
affinity,0.228,0.023,0.75,0.912,0.055,0.069,7,1
affinity,0.086,0.047,0.97,0.976,0.973,0.979,7,1
affinity,0.447,0.338,0.97,0.976,0.13,0.103,7,1
affinity,0.156,0.016,0.706,0.916,0.057,0.07,7,1
affinity,0.091,0.049,0.966,0.976,0.969,0.98,7,1
affinity,0.481,0.356,0.966,0.976,0.174,0.121,7,1
KMeans,0.911,0.014,0.721,0.927,0.36,0.343,8,1
KMeans,0.123,0.066,0.96,0.971,0.96,0.972,8,1
KMeans,0.456,0.297,0.96,0.971,0.059,0.043,8,1
KMeans,1.125,0.036,0.743,0.918,0.031,0.049,8,1
KMeans,0.096,0.052,0.968,0.971,0.972,0.974,8,1
KMeans,0.394,0.254,0.968,0.971,0.147,0.135,8,1
specteral,13.126,0.177,0.729,0.897,0.062,0.073,8,1
specteral,0.108,0.059,0.965,0.971,0.967,0.973,8,1
specteral,0.533,0.348,0.965,0.971,0.088,0.073,8,1
specteral,1.561,0.027,0.712,0.911,0.123,0.147,8,1
specteral,0.109,0.061,0.963,0.971,0.965,0.972,8,1
specteral,0.51,0.317,0.963,0.971,0.088,0.07,8,1
affinity,1.496,0.034,0.738,0.913,0.029,0.028,8,1
affinity,0.079,0.044,0.971,0.971,0.977,0.977,8,1
affinity,0.406,0.264,0.971,0.971,0.235,0.235,8,1
affinity,0.578,0.014,0.715,0.923,0.244,0.266,8,1
affinity,0.089,0.05,0.965,0.971,0.971,0.977,8,1
affinity,0.473,0.309,0.965,0.971,0.235,0.195,8,1
KMeans,0.601,0.052,0.643,0.938,0.021,0.033,9,1
KMeans,0.104,0.062,0.953,0.978,0.955,0.981,9,1
KMeans,0.699,0.367,0.953,0.978,0.158,0.073,9,1
KMeans,0.084,0.007,0.664,0.931,0.147,0.163,9,1
