,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,1.179,0.043,0.831,0.809,0.023,0.009,1,1
KMeans,0.137,0.074,0.965,0.956,0.966,0.957,1,1
KMeans,0.412,0.324,0.965,0.956,0.047,0.059,1,1
KMeans,6.722,0.11,0.816,0.724,0.036,0.019,1,1
KMeans,0.129,0.069,0.97,0.956,0.971,0.957,1,1
KMeans,0.479,0.393,0.97,0.956,0.047,0.069,1,1
specteral,1.825,0.052,0.828,0.778,0.023,0.013,1,1
specteral,0.11,0.061,0.968,0.956,0.974,0.962,1,1
specteral,0.439,0.347,0.968,0.956,0.163,0.226,1,1
specteral,5.559,0.134,0.791,0.705,0.023,0.002,1,1
specteral,0.125,0.063,0.972,0.956,0.975,0.959,1,1
specteral,0.499,0.415,0.972,0.956,0.093,0.148,1,1
affinity,0.683,0.036,0.756,0.78,0.023,0.007,1,1
affinity,0.121,0.064,0.965,0.956,0.971,0.962,1,1
affinity,0.476,0.389,0.965,0.956,0.163,0.206,1,1
affinity,0.731,0.027,0.721,0.818,0.028,0.026,1,1
affinity,0.147,0.08,0.958,0.956,0.959,0.957,1,1
affinity,0.494,0.401,0.958,0.956,0.07,0.073,1,1
KMeans,0.138,0.006,0.81,0.838,0.23,0.221,2,1
KMeans,0.106,0.057,0.967,0.967,0.971,0.971,2,1
KMeans,0.358,0.274,0.967,0.967,0.143,0.143,2,1
KMeans,1.129,0.062,0.906,0.805,0.034,0.021,2,1
KMeans,0.078,0.045,0.976,0.967,0.982,0.972,2,1
KMeans,0.312,0.252,0.976,0.967,0.179,0.25,2,1
specteral,0.428,0.016,0.835,0.826,0.071,0.056,2,1
specteral,0.097,0.053,0.97,0.967,0.974,0.971,2,1
specteral,0.38,0.299,0.97,0.967,0.143,0.16,2,1
specteral,0.401,0.016,0.878,0.868,0.222,0.21,2,1
specteral,0.078,0.046,0.97,0.967,0.978,0.974,2,1
specteral,0.308,0.229,0.97,0.967,0.25,0.28,2,1
affinity,0.987,0.066,0.871,0.867,0.034,0.018,2,1
affinity,0.078,0.044,0.97,0.967,0.979,0.976,2,1
affinity,0.305,0.232,0.97,0.967,0.286,0.32,2,1
affinity,0.555,0.026,0.797,0.9,0.054,0.082,2,1
affinity,0.109,0.061,0.962,0.967,0.966,0.971,2,1
affinity,0.331,0.245,0.962,0.967,0.143,0.125,2,1
KMeans,0.212,0.007,0.785,0.834,0.122,0.147,3,1
KMeans,0.109,0.061,0.963,0.967,0.967,0.97,3,1
KMeans,0.39,0.291,0.963,0.967,0.133,0.121,3,1
KMeans,0.982,0.043,0.793,0.796,0.25,0.265,3,1
KMeans,0.1,0.059,0.968,0.967,0.97,0.969,3,1
KMeans,0.374,0.289,0.968,0.967,0.1,0.103,3,1
specteral,0.94,0.048,0.762,0.853,0.191,0.226,3,1
specteral,0.111,0.066,0.965,0.967,0.964,0.967,3,1
specteral,0.435,0.373,0.965,0.967,0.033,0.031,3,1
specteral,0.935,0.051,0.746,0.868,0.056,0.076,3,1
specteral,0.106,0.062,0.965,0.967,0.967,0.969,3,1
specteral,0.426,0.353,0.965,0.967,0.1,0.094,3,1
affinity,0.94,0.048,0.81,0.872,0.289,0.282,3,1
affinity,0.106,0.061,0.966,0.967,0.968,0.969,3,1
affinity,0.383,0.313,0.966,0.967,0.1,0.097,3,1
affinity,0.151,0.003,0.751,0.857,0.1,0.112,3,1
affinity,0.111,0.065,0.961,0.967,0.963,0.969,3,1
affinity,0.423,0.335,0.961,0.967,0.1,0.086,3,1
KMeans,0.131,0.003,0.853,0.81,0.176,0.151,4,1
KMeans,0.09,0.052,0.968,0.965,0.975,0.971,4,1
KMeans,0.264,0.227,0.968,0.965,0.207,0.231,4,1
KMeans,1.715,0.063,0.852,0.772,0.033,0.02,4,1
KMeans,0.1,0.052,0.971,0.965,0.976,0.97,4,1
KMeans,0.326,0.266,0.971,0.965,0.172,0.208,4,1
specteral,1.127,0.08,0.845,0.735,0.033,0.014,4,1
specteral,0.087,0.051,0.972,0.965,0.977,0.97,4,1
specteral,0.361,0.309,0.972,0.965,0.172,0.217,4,1
specteral,0.966,0.086,0.833,0.832,0.033,0.013,4,1
specteral,0.102,0.058,0.967,0.965,0.971,0.969,4,1
specteral,0.344,0.294,0.967,0.965,0.138,0.148,4,1
affinity,0.795,0.038,0.784,0.787,0.033,0.021,4,1
affinity,0.107,0.062,0.968,0.965,0.97,0.966,4,1
affinity,0.441,0.394,0.968,0.965,0.069,0.077,4,1
affinity,0.493,0.018,0.766,0.851,0.157,0.183,4,1
affinity,0.104,0.059,0.961,0.965,0.967,0.971,4,1
