,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.042,0.008,0.608,0.896,0.009,0.02,1,1
KMeans,0.204,0.11,0.917,0.956,0.922,0.961,1,1
KMeans,0.671,0.426,0.917,0.956,0.186,0.099,1,1
KMeans,0.032,0.006,0.639,0.889,0.06,0.081,1,1
KMeans,0.17,0.098,0.932,0.956,0.936,0.961,1,1
KMeans,0.596,0.396,0.932,0.956,0.163,0.104,1,1
KMeans,0.028,0.006,0.691,0.884,0.013,0.026,1,1
KMeans,1.783,0.906,0.936,0.956,0.06,0.889,1,1
KMeans,0.563,0.349,0.936,0.956,0.163,0.111,1,1
specteral,0.067,0.002,0.574,0.858,0.044,0.058,1,1
specteral,0.188,0.103,0.924,0.956,0.93,0.961,1,1
specteral,0.65,0.443,0.924,0.956,0.186,0.108,1,1
specteral,0.037,0.007,0.587,0.896,0.033,0.045,1,1
specteral,0.198,0.117,0.908,0.956,0.914,0.962,1,1
specteral,0.796,0.438,0.908,0.956,0.209,0.1,1,1
specteral,0.037,0.007,0.577,0.903,0.018,0.026,1,1
specteral,1.716,0.879,0.902,0.956,0.092,0.896,1,1
specteral,0.807,0.439,0.902,0.956,0.233,0.104,1,1
affinity,0.448,0.027,0.729,0.849,0.095,0.098,1,1
affinity,0.125,0.071,0.952,0.956,0.961,0.965,1,1
affinity,0.472,0.352,0.952,0.956,0.233,0.213,1,1
affinity,0.59,0.026,0.721,0.885,0.152,0.166,1,1
affinity,0.141,0.084,0.95,0.956,0.953,0.959,1,1
affinity,0.443,0.339,0.95,0.956,0.116,0.102,1,1
affinity,0.108,0.005,0.695,0.876,0.297,0.307,1,1
affinity,1.81,0.921,0.949,0.956,0.045,0.84,1,1
affinity,0.457,0.344,0.949,0.956,0.186,0.16,1,1
KMeans,0.43,0.023,0.656,0.94,0.016,0.019,2,1
KMeans,0.147,0.086,0.937,0.967,0.94,0.97,2,1
KMeans,0.541,0.33,0.937,0.967,0.143,0.075,2,1
KMeans,0.236,0.01,0.693,0.896,0.075,0.088,2,1
KMeans,0.128,0.072,0.949,0.967,0.954,0.971,2,1
KMeans,0.486,0.33,0.949,0.967,0.179,0.116,2,1
KMeans,0.072,0.004,0.681,0.893,0.073,0.088,2,1
KMeans,1.823,0.93,0.945,0.967,0.048,0.83,2,1
KMeans,0.525,0.318,0.945,0.967,0.286,0.17,2,1
specteral,0.43,0.023,0.668,0.927,0.016,0.017,2,1
specteral,0.151,0.087,0.924,0.967,0.933,0.976,2,1
specteral,0.808,0.349,0.924,0.967,0.321,0.141,2,1
specteral,0.397,0.023,0.62,0.936,0.015,0.021,2,1
specteral,0.125,0.074,0.93,0.967,0.943,0.98,2,1
specteral,0.695,0.376,0.93,0.967,0.429,0.203,2,1
specteral,0.43,0.023,0.66,0.89,0.016,0.019,2,1
specteral,1.811,0.92,0.939,0.967,0.056,0.885,2,1
specteral,0.671,0.365,0.939,0.967,0.214,0.115,2,1
affinity,0.636,0.044,0.821,0.869,0.323,0.324,2,1
affinity,0.09,0.05,0.965,0.967,0.973,0.976,2,1
affinity,0.358,0.283,0.965,0.967,0.286,0.267,2,1
affinity,0.424,0.015,0.718,0.902,0.237,0.243,2,1
affinity,0.099,0.058,0.956,0.967,0.965,0.975,2,1
affinity,0.435,0.312,0.956,0.967,0.286,0.216,2,1
affinity,0.558,0.028,0.681,0.91,0.091,0.111,2,1
affinity,1.839,0.934,0.953,0.967,0.042,0.85,2,1
affinity,0.438,0.312,0.953,0.967,0.214,0.15,2,1
KMeans,0.341,0.015,0.596,0.919,0.016,0.023,3,1
KMeans,0.175,0.092,0.928,0.967,0.932,0.971,3,1
KMeans,0.768,0.413,0.928,0.967,0.2,0.092,3,1
KMeans,0.103,0.006,0.602,0.93,0.047,0.062,3,1
KMeans,0.162,0.089,0.934,0.967,0.937,0.97,3,1
KMeans,0.653,0.396,0.934,0.967,0.167,0.083,3,1
