,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.028,0.006,0.624,0.89,0.016,0.03,1,1
KMeans,0.192,0.109,0.924,0.956,0.926,0.958,1,1
KMeans,0.618,0.426,0.924,0.956,0.116,0.068,1,1
KMeans,0.053,0.001,0.648,0.893,0.031,0.04,1,1
KMeans,0.192,0.106,0.923,0.956,0.927,0.96,1,1
KMeans,0.671,0.393,0.923,0.956,0.163,0.093,1,1
KMeans,0.042,0.008,0.59,0.895,0.01,0.02,1,1
KMeans,1.743,0.88,0.915,0.956,0.084,0.952,1,1
KMeans,0.717,0.423,0.915,0.956,0.093,0.048,1,1
specteral,0.031,0.005,0.607,0.899,0.006,0.016,1,1
specteral,0.225,0.126,0.896,0.956,0.903,0.964,1,1
specteral,0.877,0.394,0.896,0.956,0.256,0.108,1,1
specteral,0.031,0.005,0.598,0.92,0.048,0.051,1,1
specteral,0.215,0.126,0.896,0.956,0.903,0.964,1,1
specteral,0.866,0.388,0.896,0.956,0.256,0.108,1,1
specteral,0.031,0.005,0.509,0.913,0.005,0.014,1,1
specteral,1.692,0.868,0.89,0.956,0.104,0.898,1,1
specteral,0.962,0.44,0.89,0.956,0.256,0.102,1,1
affinity,0.491,0.028,0.717,0.771,0.023,0.008,1,1
affinity,0.141,0.078,0.96,0.956,0.962,0.957,1,1
affinity,0.534,0.434,0.96,0.956,0.07,0.077,1,1
affinity,0.181,0.015,0.708,0.853,0.241,0.263,1,1
affinity,0.149,0.088,0.948,0.956,0.95,0.958,1,1
affinity,0.494,0.379,0.948,0.956,0.093,0.078,1,1
affinity,0.311,0.019,0.706,0.846,0.276,0.298,1,1
affinity,1.81,0.915,0.949,0.956,0.048,0.9,1,1
affinity,0.517,0.388,0.949,0.956,0.116,0.1,1,1
KMeans,0.407,0.022,0.651,0.941,0.014,0.018,2,1
KMeans,0.17,0.096,0.921,0.967,0.927,0.973,2,1
KMeans,0.808,0.316,0.921,0.967,0.25,0.104,2,1
KMeans,0.395,0.015,0.635,0.908,0.021,0.033,2,1
KMeans,0.154,0.086,0.93,0.967,0.937,0.973,2,1
KMeans,0.704,0.349,0.93,0.967,0.25,0.119,2,1
KMeans,0.395,0.015,0.658,0.929,0.022,0.034,2,1
KMeans,1.799,0.911,0.933,0.967,0.063,0.912,2,1
KMeans,0.659,0.324,0.933,0.967,0.179,0.088,2,1
specteral,0.343,0.015,0.549,0.934,0.018,0.026,2,1
specteral,0.175,0.098,0.916,0.967,0.923,0.974,2,1
specteral,0.865,0.371,0.916,0.967,0.286,0.113,2,1
specteral,0.43,0.023,0.595,0.945,0.012,0.013,2,1
specteral,0.191,0.106,0.903,0.967,0.912,0.976,2,1
specteral,1.072,0.358,0.903,0.967,0.357,0.122,2,1
specteral,0.436,0.024,0.537,0.945,0.01,0.012,2,1
specteral,1.733,0.893,0.9,0.967,0.09,0.871,2,1
specteral,1.107,0.369,0.9,0.967,0.393,0.129,2,1
affinity,0.132,0.005,0.815,0.884,0.304,0.3,2,1
affinity,0.113,0.064,0.965,0.967,0.966,0.968,2,1
affinity,0.329,0.251,0.965,0.967,0.071,0.067,2,1
affinity,0.558,0.028,0.737,0.891,0.004,0.026,2,1
affinity,0.113,0.064,0.955,0.967,0.961,0.973,2,1
affinity,0.418,0.301,0.955,0.967,0.214,0.158,2,1
affinity,0.558,0.028,0.698,0.919,0.004,0.026,2,1
affinity,1.842,0.937,0.954,0.967,0.039,0.821,2,1
affinity,0.401,0.288,0.954,0.967,0.25,0.179,2,1
KMeans,0.341,0.015,0.494,0.946,0.01,0.013,3,1
KMeans,0.231,0.123,0.893,0.967,0.898,0.973,3,1
KMeans,1.25,0.45,0.893,0.967,0.267,0.082,3,1
KMeans,0.066,0.003,0.545,0.909,0.028,0.038,3,1
KMeans,0.182,0.1,0.916,0.967,0.922,0.973,3,1
KMeans,0.941,0.381,0.916,0.967,0.267,0.105,3,1
KMeans,0.171,0.011,0.532,0.931,0.022,0.03,3,1
KMeans,1.747,0.878,0.907,0.967,0.094,0.976,3,1
KMeans,1.062,0.431,0.907,0.967,0.067,0.024,3,1
specteral,0.391,0.017,0.487,0.962,0.008,0.009,3,1
specteral,0.257,0.143,0.879,0.967,0.881,0.969,3,1
specteral,1.448,0.422,0.879,0.967,0.167,0.046,3,1
specteral,0.332,0.017,0.481,0.959,0.006,0.01,3,1
specteral,0.231,0.132,0.89,0.967,0.892,0.969,3,1
specteral,1.258,0.432,0.89,0.967,0.167,0.051,3,1
specteral,0.105,0.003,0.48,0.957,0.019,0.027,3,1
specteral,1.714,0.878,0.889,0.967,0.103,0.9,3,1
specteral,1.289,0.421,0.889,0.967,0.333,0.1,3,1
affinity,0.809,0.033,0.712,0.877,0.083,0.092,3,1
affinity,0.133,0.072,0.959,0.967,0.959,0.967,3,1
affinity,0.437,0.341,0.959,0.967,0.033,0.027,3,1
affinity,0.479,0.023,0.667,0.924,0.006,0.025,3,1
affinity,0.126,0.072,0.948,0.967,0.953,0.972,3,1
affinity,0.507,0.369,0.948,0.967,0.2,0.128,3,1
affinity,0.479,0.023,0.681,0.936,0.003,0.022,3,1
affinity,1.829,0.929,0.947,0.967,0.047,0.854,3,1
affinity,0.493,0.352,0.947,0.967,0.233,0.146,3,1
KMeans,0.262,0.016,0.634,0.941,0.01,0.019,4,1
KMeans,0.197,0.108,0.918,0.965,0.92,0.967,4,1
KMeans,0.774,0.366,0.918,0.965,0.138,0.059,4,1
KMeans,0.295,0.02,0.605,0.904,0.022,0.027,4,1
KMeans,0.184,0.097,0.919,0.965,0.926,0.972,4,1
KMeans,0.819,0.387,0.919,0.965,0.276,0.119,4,1
KMeans,0.23,0.008,0.648,0.914,0.022,0.028,4,1
KMeans,1.772,0.905,0.921,0.965,0.072,0.877,4,1
KMeans,0.734,0.32,0.921,0.965,0.276,0.123,4,1
specteral,0.046,0.001,0.566,0.948,0.038,0.043,4,1
specteral,0.211,0.119,0.897,0.965,0.903,0.972,4,1
specteral,1.076,0.387,0.897,0.965,0.276,0.094,4,1
specteral,0.168,0.008,0.558,0.954,0.016,0.019,4,1
specteral,0.206,0.118,0.898,0.965,0.905,0.972,4,1
specteral,1.041,0.379,0.898,0.965,0.276,0.095,4,1
specteral,0.348,0.013,0.564,0.937,0.027,0.034,4,1
specteral,1.731,0.887,0.901,0.965,0.092,0.89,4,1
specteral,1.078,0.426,0.901,0.965,0.31,0.11,4,1
affinity,0.823,0.041,0.823,0.851,0.19,0.186,4,1
affinity,0.097,0.056,0.967,0.965,0.972,0.97,4,1
affinity,0.28,0.238,0.967,0.965,0.172,0.185,4,1
affinity,0.198,0.008,0.739,0.868,0.037,0.048,4,1
affinity,0.129,0.068,0.953,0.965,0.959,0.971,4,1
affinity,0.396,0.309,0.953,0.965,0.207,0.154,4,1
affinity,0.285,0.016,0.754,0.89,0.004,0.024,4,1
affinity,1.83,0.927,0.95,0.965,0.045,0.878,4,1
affinity,0.416,0.287,0.95,0.965,0.172,0.122,4,1
KMeans,0.099,0.005,0.49,0.922,0.018,0.02,5,1
KMeans,0.166,0.091,0.927,0.976,0.928,0.978,5,1
KMeans,1.151,0.445,0.927,0.976,0.136,0.044,5,1
KMeans,0.122,0.0,0.509,0.878,0.024,0.043,5,1
KMeans,0.16,0.086,0.927,0.976,0.93,0.98,5,1
KMeans,1.18,0.432,0.927,0.976,0.227,0.074,5,1
KMeans,0.085,0.006,0.57,0.905,0.029,0.036,5,1
KMeans,1.816,0.913,0.932,0.976,0.067,0.968,5,1
KMeans,1.041,0.4,0.932,0.976,0.091,0.032,5,1
specteral,0.088,0.008,0.577,0.963,0.011,0.014,5,1
specteral,0.166,0.093,0.92,0.976,0.924,0.98,5,1
specteral,1.299,0.366,0.92,0.976,0.227,0.068,5,1
specteral,0.181,0.007,0.523,0.975,0.022,0.029,5,1
specteral,0.169,0.094,0.913,0.976,0.919,0.983,5,1
specteral,1.45,0.401,0.913,0.976,0.364,0.099,5,1
specteral,0.157,0.003,0.516,0.974,0.015,0.015,5,1
specteral,1.762,0.89,0.905,0.976,0.093,0.955,5,1
specteral,1.598,0.411,0.905,0.976,0.182,0.045,5,1
affinity,0.073,0.006,0.738,0.875,0.051,0.074,5,1
affinity,0.091,0.051,0.969,0.976,0.97,0.978,5,1
affinity,0.478,0.338,0.969,0.976,0.091,0.069,5,1
affinity,0.359,0.008,0.649,0.937,0.016,0.04,5,1
affinity,0.11,0.06,0.955,0.976,0.958,0.98,5,1
affinity,0.599,0.359,0.955,0.976,0.182,0.095,5,1
affinity,0.249,0.035,0.643,0.924,0.003,0.023,5,1
affinity,1.859,0.936,0.954,0.976,0.044,0.93,5,1
affinity,0.64,0.368,0.954,0.976,0.136,0.07,5,1
KMeans,0.691,0.078,0.419,0.966,0.001,0.011,6,1
KMeans,0.181,0.096,0.918,0.983,0.918,0.983,6,1
KMeans,2.005,0.494,0.918,0.983,0.105,0.022,6,1
