,winDiff,pk,coverage,purity,recall,precision
KMeans,0.689,0.044,0.504,0.947,0.0,0.012
KMeans,0.22,0.123,0.895,0.964,0.9,0.97
KMeans,1.132,0.459,0.895,0.964,0.241,0.082
KMeans,1.151,0.006,0.515,0.921,0.01,0.017
KMeans,0.203,0.112,0.906,0.964,0.912,0.97
KMeans,1.124,0.494,0.906,0.964,0.241,0.092
specteral,0.249,0.077,0.83,0.427,0.035,0.034
specteral,0.116,0.064,0.964,0.964,0.967,0.967
specteral,0.682,0.371,0.964,0.964,0.103,0.103
specteral,0.244,0.077,0.781,0.604,0.001,0.025
specteral,0.138,0.078,0.951,0.964,0.953,0.966
specteral,0.691,0.35,0.951,0.964,0.103,0.075
affinity,0.249,0.077,0.636,0.784,0.0,0.013
affinity,0.195,0.109,0.902,0.964,0.912,0.974
affinity,1.139,0.366,0.902,0.964,0.345,0.127
affinity,0.249,0.077,0.591,0.828,0.0,0.014
affinity,0.185,0.102,0.911,0.964,0.919,0.973
affinity,0.99,0.404,0.911,0.964,0.31,0.125
