,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.439,0.024,0.716,0.741,0.085,0.075,1,1
KMeans,0.153,0.082,0.954,0.956,0.956,0.958,1,1
KMeans,0.556,0.406,0.954,0.956,0.093,0.089,1,1
KMeans,1.058,0.054,0.844,0.83,0.023,0.004,1,1
KMeans,0.129,0.07,0.963,0.956,0.967,0.96,1,1
KMeans,0.381,0.303,0.963,0.956,0.116,0.139,1,1
specteral,0.037,0.007,0.832,0.455,0.031,0.023,1,1
specteral,0.147,0.08,0.96,0.956,0.961,0.956,1,1
specteral,0.635,0.41,0.96,0.956,0.047,0.051,1,1
specteral,0.031,0.005,0.776,0.62,0.01,0.027,1,1
specteral,0.161,0.089,0.939,0.956,0.945,0.962,1,1
specteral,0.673,0.37,0.939,0.956,0.186,0.133,1,1
affinity,0.034,0.007,0.757,0.667,0.028,0.038,1,1
affinity,0.161,0.085,0.955,0.956,0.955,0.956,1,1
affinity,0.613,0.439,0.955,0.956,0.047,0.045,1,1
affinity,0.034,0.007,0.764,0.753,0.009,0.029,1,1
affinity,0.157,0.084,0.95,0.956,0.953,0.959,1,1
affinity,0.58,0.395,0.95,0.956,0.116,0.102,1,1
KMeans,0.395,0.015,0.793,0.765,0.08,0.111,2,1
KMeans,0.121,0.064,0.962,0.967,0.965,0.969,2,1
KMeans,0.447,0.31,0.962,0.967,0.107,0.094,2,1
KMeans,1.004,0.083,0.797,0.751,0.21,0.205,2,1
KMeans,0.113,0.065,0.968,0.967,0.967,0.966,2,1
KMeans,0.399,0.324,0.968,0.967,0.0,0.0,2,1
specteral,0.531,0.049,0.825,0.518,0.003,0.03,2,1
specteral,0.123,0.067,0.961,0.967,0.962,0.968,2,1
specteral,0.721,0.399,0.961,0.967,0.071,0.061,2,1
specteral,0.535,0.046,0.826,0.586,0.003,0.03,2,1
specteral,0.121,0.065,0.961,0.967,0.963,0.969,2,1
specteral,0.666,0.4,0.961,0.967,0.107,0.091,2,1
affinity,0.535,0.049,0.806,0.66,0.002,0.029,2,1
affinity,0.121,0.067,0.959,0.967,0.961,0.969,2,1
affinity,0.549,0.317,0.959,0.967,0.107,0.086,2,1
affinity,0.535,0.049,0.787,0.8,0.002,0.026,2,1
affinity,0.125,0.071,0.955,0.967,0.957,0.969,2,1
affinity,0.511,0.297,0.955,0.967,0.107,0.079,2,1
KMeans,0.297,0.005,0.8,0.728,0.121,0.117,3,1
KMeans,0.118,0.063,0.966,0.967,0.967,0.968,3,1
KMeans,0.471,0.351,0.966,0.967,0.067,0.065,3,1
KMeans,0.176,0.006,0.761,0.802,0.088,0.114,3,1
KMeans,0.109,0.06,0.962,0.967,0.967,0.971,3,1
KMeans,0.455,0.325,0.962,0.967,0.167,0.147,3,1
specteral,0.52,0.045,0.858,0.322,0.034,0.037,3,1
specteral,0.118,0.063,0.968,0.967,0.968,0.967,3,1
specteral,0.761,0.447,0.968,0.967,0.033,0.034,3,1
specteral,0.477,0.03,0.683,0.725,0.004,0.017,3,1
specteral,0.184,0.096,0.935,0.967,0.934,0.966,3,1
specteral,0.968,0.431,0.935,0.967,0.033,0.017,3,1
affinity,0.517,0.042,0.722,0.627,0.002,0.024,3,1
affinity,0.146,0.074,0.955,0.967,0.955,0.968,3,1
affinity,0.731,0.48,0.955,0.967,0.067,0.049,3,1
affinity,0.517,0.042,0.713,0.67,0.002,0.023,3,1
affinity,0.142,0.079,0.952,0.967,0.952,0.966,3,1
affinity,0.648,0.415,0.952,0.967,0.033,0.023,3,1
KMeans,0.658,0.015,0.788,0.713,0.108,0.099,4,1
KMeans,0.104,0.056,0.965,0.965,0.971,0.971,4,1
KMeans,0.467,0.361,0.965,0.965,0.207,0.207,4,1
KMeans,1.025,0.062,0.81,0.795,0.327,0.362,4,1
KMeans,0.1,0.057,0.961,0.965,0.969,0.972,4,1
KMeans,0.365,0.273,0.961,0.965,0.241,0.219,4,1
specteral,0.421,0.037,0.813,0.469,0.006,0.03,4,1
specteral,0.126,0.065,0.96,0.965,0.964,0.968,4,1
specteral,0.757,0.467,0.96,0.965,0.138,0.121,4,1
specteral,0.343,0.019,0.735,0.622,0.016,0.024,4,1
specteral,0.148,0.079,0.949,0.965,0.951,0.967,4,1
specteral,0.797,0.448,0.949,0.965,0.103,0.071,4,1
affinity,0.416,0.038,0.792,0.664,0.002,0.027,4,1
affinity,0.119,0.063,0.955,0.965,0.962,0.972,4,1
affinity,0.615,0.394,0.955,0.965,0.241,0.189,4,1
affinity,0.416,0.038,0.738,0.736,0.002,0.024,4,1
affinity,0.146,0.078,0.95,0.965,0.952,0.967,4,1
affinity,0.559,0.385,0.95,0.965,0.103,0.073,4,1
KMeans,0.516,0.007,0.72,0.798,0.083,0.089,5,1
KMeans,0.108,0.057,0.964,0.976,0.965,0.976,5,1
KMeans,0.579,0.349,0.964,0.976,0.045,0.03,5,1
KMeans,1.119,0.03,0.639,0.861,0.078,0.101,5,1
KMeans,0.115,0.058,0.961,0.976,0.962,0.978,5,1
KMeans,0.557,0.358,0.961,0.976,0.091,0.056,5,1
specteral,0.277,0.037,0.774,0.424,0.004,0.028,5,1
specteral,0.11,0.056,0.961,0.976,0.963,0.979,5,1
specteral,1.014,0.493,0.961,0.976,0.136,0.083,5,1
specteral,0.252,0.026,0.651,0.724,0.001,0.018,5,1
specteral,0.156,0.081,0.938,0.976,0.939,0.977,5,1
specteral,1.246,0.474,0.938,0.976,0.091,0.035,5,1
affinity,0.272,0.038,0.697,0.664,0.002,0.029,5,1
affinity,0.112,0.057,0.962,0.976,0.963,0.978,5,1
affinity,0.787,0.479,0.962,0.976,0.091,0.057,5,1
affinity,0.243,0.033,0.603,0.816,0.004,0.02,5,1
affinity,0.132,0.072,0.945,0.976,0.947,0.978,5,1
affinity,0.904,0.459,0.945,0.976,0.136,0.059,5,1
KMeans,0.34,0.038,0.553,0.857,0.028,0.041,6,1
KMeans,0.108,0.059,0.955,0.983,0.956,0.984,6,1
KMeans,0.974,0.424,0.955,0.983,0.105,0.041,6,1
KMeans,0.199,0.022,0.59,0.897,0.106,0.127,6,1
KMeans,0.095,0.051,0.964,0.983,0.965,0.983,6,1
KMeans,0.73,0.384,0.964,0.983,0.053,0.026,6,1
specteral,0.559,0.074,0.612,0.657,0.004,0.019,6,1
specteral,0.115,0.061,0.952,0.983,0.953,0.984,6,1
specteral,1.204,0.417,0.952,0.983,0.105,0.038,6,1
specteral,0.653,0.083,0.653,0.613,0.001,0.016,6,1
specteral,0.137,0.072,0.943,0.983,0.943,0.983,6,1
specteral,1.539,0.446,0.943,0.983,0.053,0.016,6,1
affinity,0.563,0.073,0.562,0.787,0.002,0.022,6,1
