,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.4,0.023,0.764,0.8,0.158,0.14,1,1
KMeans,0.147,0.083,0.957,0.956,0.957,0.956,1,1
KMeans,0.488,0.37,0.957,0.956,0.047,0.048,1,1
KMeans,2.672,0.063,0.804,0.835,0.028,0.024,1,1
KMeans,0.125,0.069,0.96,0.956,0.966,0.962,1,1
KMeans,0.404,0.318,0.96,0.956,0.163,0.179,1,1
specteral,0.051,0.003,0.826,0.519,0.075,0.06,1,1
specteral,0.141,0.073,0.96,0.956,0.964,0.96,1,1
specteral,0.631,0.411,0.96,0.956,0.116,0.128,1,1
specteral,0.031,0.001,0.776,0.621,0.024,0.04,1,1
specteral,0.165,0.09,0.946,0.956,0.948,0.958,1,1
specteral,0.644,0.405,0.946,0.956,0.093,0.075,1,1
affinity,0.032,0.006,0.816,0.556,0.049,0.032,1,1
affinity,0.141,0.074,0.967,0.956,0.967,0.956,1,1
affinity,0.529,0.422,0.967,0.956,0.023,0.031,1,1
affinity,0.032,0.006,0.836,0.606,0.146,0.148,1,1
affinity,0.131,0.069,0.968,0.956,0.97,0.958,1,1
affinity,0.49,0.379,0.968,0.956,0.07,0.097,1,1
KMeans,0.066,0.002,0.778,0.823,0.143,0.157,2,1
KMeans,0.123,0.067,0.959,0.967,0.961,0.969,2,1
KMeans,0.387,0.282,0.959,0.967,0.107,0.086,2,1
KMeans,1.082,0.078,0.817,0.779,0.068,0.103,2,1
KMeans,0.106,0.058,0.963,0.967,0.968,0.972,2,1
KMeans,0.368,0.287,0.963,0.967,0.179,0.161,2,1
specteral,0.531,0.049,0.844,0.477,0.038,0.038,2,1
specteral,0.111,0.06,0.968,0.967,0.969,0.968,2,1
specteral,0.606,0.382,0.968,0.967,0.071,0.074,2,1
specteral,0.549,0.039,0.79,0.599,0.002,0.03,2,1
specteral,0.121,0.065,0.961,0.967,0.963,0.969,2,1
specteral,0.626,0.385,0.961,0.967,0.107,0.091,2,1
affinity,0.537,0.047,0.857,0.628,0.043,0.043,2,1
affinity,0.104,0.058,0.97,0.967,0.972,0.968,2,1
affinity,0.433,0.31,0.97,0.967,0.071,0.08,2,1
affinity,0.537,0.047,0.845,0.766,0.037,0.035,2,1
affinity,0.104,0.057,0.967,0.967,0.971,0.971,2,1
affinity,0.404,0.305,0.967,0.967,0.143,0.143,2,1
KMeans,0.19,0.001,0.714,0.805,0.097,0.11,3,1
KMeans,0.106,0.059,0.963,0.967,0.968,0.971,3,1
KMeans,0.428,0.324,0.963,0.967,0.167,0.152,3,1
KMeans,0.92,0.055,0.741,0.791,0.061,0.073,3,1
KMeans,0.115,0.063,0.963,0.967,0.966,0.969,3,1
KMeans,0.457,0.353,0.963,0.967,0.1,0.091,3,1
specteral,0.513,0.042,0.816,0.431,0.003,0.03,3,1
specteral,0.126,0.065,0.963,0.967,0.964,0.968,3,1
specteral,0.815,0.487,0.963,0.967,0.067,0.061,3,1
specteral,0.332,0.017,0.746,0.609,0.014,0.023,3,1
specteral,0.142,0.075,0.951,0.967,0.953,0.969,3,1
specteral,0.75,0.404,0.951,0.967,0.1,0.068,3,1
affinity,0.514,0.041,0.78,0.637,0.002,0.03,3,1
affinity,0.111,0.059,0.963,0.967,0.968,0.971,3,1
affinity,0.563,0.394,0.963,0.967,0.167,0.152,3,1
affinity,0.514,0.041,0.793,0.648,0.034,0.032,3,1
affinity,0.118,0.063,0.966,0.967,0.967,0.968,3,1
affinity,0.507,0.377,0.966,0.967,0.067,0.065,3,1
KMeans,0.837,0.019,0.756,0.76,0.078,0.102,4,1
KMeans,0.112,0.063,0.96,0.965,0.965,0.97,4,1
KMeans,0.46,0.345,0.96,0.965,0.172,0.152,4,1
KMeans,0.944,0.042,0.758,0.785,0.117,0.114,4,1
KMeans,0.114,0.059,0.959,0.965,0.966,0.972,4,1
KMeans,0.486,0.376,0.959,0.965,0.241,0.206,4,1
specteral,0.371,0.033,0.841,0.364,0.037,0.035,4,1
specteral,0.119,0.061,0.967,0.965,0.97,0.967,4,1
specteral,0.702,0.461,0.967,0.965,0.103,0.111,4,1
specteral,0.297,0.024,0.73,0.625,0.002,0.025,4,1
specteral,0.143,0.074,0.952,0.965,0.955,0.968,4,1
specteral,0.79,0.507,0.952,0.965,0.138,0.1,4,1
affinity,0.405,0.037,0.799,0.573,0.036,0.045,4,1
affinity,0.114,0.063,0.965,0.965,0.967,0.967,4,1
affinity,0.567,0.42,0.965,0.965,0.103,0.103,4,1
affinity,0.405,0.037,0.759,0.695,0.002,0.031,4,1
affinity,0.129,0.069,0.961,0.965,0.962,0.966,4,1
affinity,0.506,0.403,0.961,0.965,0.069,0.062,4,1
KMeans,0.607,0.007,0.727,0.786,0.072,0.076,5,1
KMeans,0.099,0.053,0.967,0.976,0.968,0.978,5,1
KMeans,0.546,0.354,0.967,0.976,0.091,0.065,5,1
KMeans,1.119,0.03,0.676,0.901,0.127,0.149,5,1
KMeans,0.106,0.057,0.96,0.976,0.962,0.979,5,1
KMeans,0.572,0.345,0.96,0.976,0.136,0.081,5,1
specteral,0.272,0.038,0.781,0.413,0.002,0.031,5,1
specteral,0.102,0.056,0.965,0.976,0.966,0.977,5,1
specteral,0.939,0.479,0.965,0.976,0.045,0.031,5,1
specteral,0.265,0.023,0.672,0.787,0.001,0.022,5,1
specteral,0.128,0.066,0.951,0.976,0.954,0.978,5,1
specteral,0.84,0.418,0.951,0.976,0.136,0.067,5,1
affinity,0.263,0.037,0.745,0.619,0.002,0.037,5,1
affinity,0.099,0.051,0.971,0.976,0.971,0.977,5,1
affinity,0.634,0.446,0.971,0.976,0.045,0.037,5,1
affinity,0.263,0.037,0.693,0.78,0.002,0.026,5,1
affinity,0.115,0.062,0.958,0.976,0.959,0.977,5,1
affinity,0.723,0.438,0.958,0.976,0.091,0.051,5,1
KMeans,0.49,0.054,0.655,0.825,0.027,0.048,6,1
KMeans,0.09,0.049,0.962,0.983,0.965,0.985,6,1
KMeans,0.753,0.356,0.962,0.983,0.158,0.073,6,1
KMeans,0.448,0.05,0.555,0.886,0.027,0.042,6,1
KMeans,0.103,0.053,0.961,0.983,0.962,0.984,6,1
KMeans,0.847,0.414,0.961,0.983,0.105,0.047,6,1
specteral,0.56,0.073,0.712,0.535,0.003,0.024,6,1
specteral,0.101,0.055,0.962,0.983,0.962,0.982,6,1
specteral,1.032,0.425,0.962,0.983,0.0,0.0,6,1
specteral,0.668,0.085,0.628,0.675,0.001,0.018,6,1
specteral,0.121,0.064,0.95,0.983,0.951,0.984,6,1
specteral,1.317,0.491,0.95,0.983,0.105,0.036,6,1
affinity,0.57,0.074,0.759,0.685,0.003,0.034,6,1
affinity,0.075,0.038,0.973,0.983,0.976,0.985,6,1
affinity,0.546,0.316,0.973,0.983,0.158,0.103,6,1
affinity,0.589,0.078,0.584,0.836,0.006,0.025,6,1
affinity,0.092,0.049,0.963,0.983,0.966,0.985,6,1
affinity,0.748,0.432,0.963,0.983,0.158,0.075,6,1
KMeans,0.456,0.046,0.774,0.733,0.038,0.061,7,1
KMeans,0.093,0.049,0.97,0.976,0.972,0.978,7,1
KMeans,0.586,0.402,0.97,0.976,0.087,0.069,7,1
KMeans,0.685,0.068,0.74,0.824,0.084,0.11,7,1
KMeans,0.078,0.044,0.967,0.976,0.973,0.982,7,1
KMeans,0.462,0.311,0.967,0.976,0.261,0.188,7,1
specteral,0.573,0.07,0.806,0.487,0.003,0.034,7,1
specteral,0.099,0.051,0.97,0.976,0.971,0.977,7,1
specteral,0.85,0.461,0.97,0.976,0.043,0.034,7,1
specteral,0.694,0.083,0.68,0.64,0.002,0.023,7,1
specteral,0.117,0.064,0.956,0.976,0.957,0.977,7,1
specteral,0.922,0.452,0.956,0.976,0.087,0.047,7,1
affinity,0.584,0.072,0.726,0.73,0.002,0.031,7,1
affinity,0.101,0.052,0.967,0.976,0.968,0.978,7,1
affinity,0.67,0.432,0.967,0.976,0.087,0.062,7,1
affinity,0.584,0.072,0.712,0.713,0.002,0.03,7,1
affinity,0.093,0.051,0.966,0.976,0.968,0.979,7,1
affinity,0.58,0.378,0.966,0.976,0.13,0.091,7,1
KMeans,1.74,0.031,0.734,0.851,0.046,0.05,8,1
KMeans,0.116,0.059,0.965,0.971,0.967,0.973,8,1
KMeans,0.576,0.369,0.965,0.971,0.088,0.073,8,1
KMeans,11.47,0.162,0.721,0.88,0.045,0.066,8,1
KMeans,0.104,0.057,0.968,0.971,0.969,0.972,8,1
KMeans,0.515,0.345,0.968,0.971,0.059,0.054,8,1
specteral,0.188,0.034,0.853,0.45,0.034,0.061,8,1
specteral,0.104,0.055,0.969,0.971,0.971,0.973,8,1
specteral,0.696,0.353,0.969,0.971,0.088,0.083,8,1
specteral,0.458,0.014,0.803,0.669,0.036,0.063,8,1
specteral,0.109,0.059,0.967,0.971,0.967,0.972,8,1
specteral,0.601,0.351,0.967,0.971,0.059,0.051,8,1
affinity,0.089,0.046,0.844,0.671,0.002,0.027,8,1
